instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-27FEB26-40000-P,put,40000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67509.44,497.53,0.0,,,,0.1,6750.944,2026-02-26T23:59:59Z,1772150399999,1772135434550,2026-02-26T19:50:34Z,0.0001,buy,0.1,0.1,1
BTC-27FEB26-45000-C,call,45000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67511.67,0.0,0.33316683,,,,0.0,0.0,2026-02-26T23:59:59Z,1772150399999,1772034648712,2026-02-25T15:50:48Z,0.332,sell,0.0,0.0,0
BTC-27FEB26-45000-P,put,45000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,68123.24,242.47,6.16e-06,,,,0.0,0.0,2026-02-26T23:59:59Z,1772150399999,1772059860037,2026-02-25T22:51:00Z,0.0001,buy,0.0,0.0,0
BTC-27FEB26-50000-C,call,50000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67524.87,362.13,0.25936902,,,,0.1,6752.487,2026-02-26T23:59:59Z,1772150399999,1772132657704,2026-02-26T19:04:17Z,0.26,buy,0.1,0.1,1
BTC-27FEB26-50000-P,put,50000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,68169.55,240.0,3.93e-06,,,,62.2,4239889.194999999,2026-02-26T23:59:59Z,1772150399999,1772107675375,2026-02-26T12:07:55Z,0.0001,buy,62.2,62.2,5
BTC-27FEB26-56000-P,put,56000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,66661.41,162.85,6.649e-05,,,,182.0,12402128.622,2026-02-26T23:59:59Z,1772150399999,1772124719267,2026-02-26T16:51:59Z,0.0001,sell,182.0,182.0,58
BTC-27FEB26-58000-C,call,58000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,68402.27,156.92,0.15221768,,,,0.2,13676.607000000002,2026-02-26T23:59:59Z,1772150399999,1772078990226,2026-02-26T04:09:50Z,0.153,buy,0.2,0.2,2
BTC-27FEB26-58000-P,put,58000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67682.41,175.22,4.742e-05,,,,156.5,10625526.848,2026-02-26T23:59:59Z,1772150399999,1772134527100,2026-02-26T19:35:27Z,0.0002,buy,156.5,156.5,80
BTC-27FEB26-60000-C,call,60000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67072.58,0.0,0.10553141,,,,1.5,101768.73400000001,2026-02-26T23:59:59Z,1772150399999,1772119142499,2026-02-26T15:19:02Z,0.1045,sell,1.5,1.5,11
BTC-27FEB26-60000-P,put,60000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67629.55,139.7,3.508e-05,,,,130.7,8876225.136,2026-02-26T23:59:59Z,1772150399999,1772134295824,2026-02-26T19:31:35Z,0.0002,buy,130.7,130.7,100
BTC-27FEB26-61500-C,call,61500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,64878.71,72.91,0.05586579,,,,0.0,0.0,2026-02-26T23:59:59Z,1772150399999,1772002964579,2026-02-25T07:02:44Z,0.0564,sell,0.0,0.0,0
BTC-27FEB26-61500-P,put,61500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67330.29,106.16,0.00010002,,,,52.6,3556100.025,2026-02-26T23:59:59Z,1772150399999,1772139256672,2026-02-26T20:54:16Z,0.0001,sell,52.6,52.6,49
BTC-27FEB26-62000-C,call,62000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67596.38,124.76,0.08281492,,,,0.5,33843.599,2026-02-26T23:59:59Z,1772150399999,1772118323559,2026-02-26T15:05:23Z,0.084,buy,0.5,0.5,3
BTC-27FEB26-62000-P,put,62000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67378.4,98.63,0.00014136,,,,54.2,3674341.308,2026-02-26T23:59:59Z,1772150399999,1772139337803,2026-02-26T20:55:37Z,0.0001,buy,54.2,54.2,53
BTC-27FEB26-62500-C,call,62500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,68808.93,97.3,0.09265292,,,,0.0,0.0,2026-02-26T23:59:59Z,1772150399999,1772058871477,2026-02-25T22:34:31Z,0.0927,buy,0.0,0.0,0
BTC-27FEB26-62500-P,put,62500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,66977.16,87.02,0.00046634,,,,50.2,3392608.638,2026-02-26T23:59:59Z,1772150399999,1772123743030,2026-02-26T16:35:43Z,0.0004,buy,50.2,50.2,21
BTC-27FEB26-63000-C,call,63000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67806.7,101.3,0.07110742,,,,12.0,817411.492,2026-02-26T23:59:59Z,1772150399999,1772114561743,2026-02-26T14:02:41Z,0.0716,sell,12.0,12.0,6
BTC-27FEB26-63000-P,put,63000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67385.93,83.92,0.00013466,,,,189.6,12852346.127,2026-02-26T23:59:59Z,1772150399999,1772141209766,2026-02-26T21:26:49Z,0.0001,sell,189.6,189.6,89
BTC-27FEB26-63500-C,call,63500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,66184.58,54.35,0.04300382,,,,0.0,0.0,2026-02-26T23:59:59Z,1772150399999,1772024008664,2026-02-25T12:53:28Z,0.043,sell,0.0,0.0,0
BTC-27FEB26-63500-P,put,63500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67506.17,84.38,7.343e-05,,,,15.3,1036116.224,2026-02-26T23:59:59Z,1772150399999,1772147532158,2026-02-26T23:12:12Z,0.0001,sell,15.3,15.3,24
BTC-27FEB26-64000-C,call,64000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67738.89,99.44,0.05518391,,,,1.2000000000000002,81590.101,2026-02-26T23:59:59Z,1772150399999,1772136214865,2026-02-26T20:03:34Z,0.056,buy,1.2000000000000002,1.2000000000000002,3
BTC-27FEB26-64000-P,put,64000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67497.49,77.35,0.0001319,,,,125.9,8525830.651,2026-02-26T23:59:59Z,1772150399999,1772149530719,2026-02-26T23:45:30Z,0.0001,buy,125.9,125.9,74
BTC-27FEB26-64500-C,call,64500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,66816.53,64.06,0.03600753,,,,1.5,101627.504,2026-02-26T23:59:59Z,1772150399999,1772124387532,2026-02-26T16:46:27Z,0.0355,sell,1.5,1.5,12
BTC-27FEB26-64500-P,put,64500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67497.27,74.75,0.00017986,,,,34.9,2372339.37,2026-02-26T23:59:59Z,1772150399999,1772149532651,2026-02-26T23:45:32Z,0.0002,sell,34.9,34.9,52
BTC-27FEB26-65000-C,call,65000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67461.39,46.98,0.03679361,,,,8.2,549844.01,2026-02-26T23:59:59Z,1772150399999,1772143082285,2026-02-26T21:58:02Z,0.0365,sell,8.2,8.2,7
BTC-27FEB26-65000-P,put,65000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67557.47,64.72,0.00020712,,,,759.3,51095376.036,2026-02-26T23:59:59Z,1772150399999,1772149174352,2026-02-26T23:39:34Z,0.0002,sell,759.3,759.3,136
BTC-27FEB26-65500-C,call,65500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,68193.07,68.49,0.04136521,,,,0.1,6819.307000000001,2026-02-26T23:59:59Z,1772150399999,1772088200560,2026-02-26T06:43:20Z,0.0415,buy,0.1,0.1,1
BTC-27FEB26-65500-P,put,65500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67498.07,60.31,0.00033771,,,,97.4,6565234.53,2026-02-26T23:59:59Z,1772150399999,1772149526619,2026-02-26T23:45:26Z,0.0004,buy,97.4,97.4,85
BTC-27FEB26-66000-C,call,66000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67497.05,58.57,0.0228236,,,,2.5,168131.734,2026-02-26T23:59:59Z,1772150399999,1772150089371,2026-02-26T23:54:49Z,0.023,sell,2.5,2.5,9
BTC-27FEB26-66000-P,put,66000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67517.05,53.14,0.00058933,,,,284.5,19186654.036,2026-02-26T23:59:59Z,1772150399999,1772149608167,2026-02-26T23:46:48Z,0.0006,sell,284.5,284.5,227
BTC-27FEB26-66500-C,call,66500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67456.61,45.34,0.01545186,,,,34.5,2310197.586,2026-02-26T23:59:59Z,1772150399999,1772144401772,2026-02-26T22:20:01Z,0.0155,sell,34.5,34.5,49
BTC-27FEB26-66500-P,put,66500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67625.7,46.53,0.00092678,,,,129.1,8741062.603,2026-02-26T23:59:59Z,1772150399999,1772146186127,2026-02-26T22:49:46Z,0.001,sell,129.1,129.1,144
BTC-27FEB26-67000-C,call,67000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67414.88,41.62,0.00902213,,,,155.1,10466237.13,2026-02-26T23:59:59Z,1772150399999,1772144502749,2026-02-26T22:21:42Z,0.009,sell,155.1,155.1,174
BTC-27FEB26-67000-P,put,67000.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67510.56,42.29,0.00228175,,,,303.5,20497445.277,2026-02-26T23:59:59Z,1772150399999,1772147583883,2026-02-26T23:13:03Z,0.0024,sell,303.5,303.5,232
BTC-27FEB26-67500-C,call,67500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67468.24,39.6,0.00473645,,,,57.5,3887607.818,2026-02-26T23:59:59Z,1772150399999,1772149861110,2026-02-26T23:51:01Z,0.0046,sell,57.5,57.5,134
BTC-27FEB26-67500-P,put,67500.0,1772150400000,2026-02-27T00:00:00Z,3.168808781402895e-11,67639.16,40.23,0.00386002,,,,155.5,10555922.59,2026-02-26T23:59:59Z,1772150399999,1772149172072,2026-02-26T23:39:32Z,0.004,buy,155.5,155.5,235
