instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-28FEB26-56000-P,put,56000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65558.43,159.13,0.0001428,,,,164.6,10842627.9,2026-02-27T23:59:59Z,1772236799999,1772217829494,2026-02-27T18:43:49Z,0.0001,buy,164.6,164.6,58
BTC-28FEB26-57000-C,call,57000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,67948.56,128.78,0.16177774,,,,0.0,0.0,2026-02-27T23:59:59Z,1772236799999,1772063565364,2026-02-25T23:52:45Z,0.1625,buy,0.0,0.0,0
BTC-28FEB26-57000-P,put,57000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65446.99,167.03,3.398e-05,,,,56.4,3720622.168,2026-02-27T23:59:59Z,1772236799999,1772231344331,2026-02-27T22:29:04Z,0.0001,buy,56.4,56.4,26
BTC-28FEB26-58000-P,put,58000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65567.68,154.68,3.859e-05,,,,60.0,3939706.227,2026-02-27T23:59:59Z,1772236799999,1772233307129,2026-02-27T23:01:47Z,0.0001,buy,60.0,60.0,20
BTC-28FEB26-59000-P,put,59000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65597.59,135.4,9.715e-05,,,,142.1,9405930.752,2026-02-27T23:59:59Z,1772236799999,1772233126876,2026-02-27T22:58:46Z,0.0001,buy,142.1,142.1,47
BTC-28FEB26-60000-P,put,60000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65888.3,125.22,9.003e-05,,,,114.5,7534594.6219999995,2026-02-27T23:59:59Z,1772236799999,1772235143290,2026-02-27T23:32:23Z,0.0001,sell,114.5,114.5,60
BTC-28FEB26-60500-P,put,60500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65830.62,115.71,0.00013279,,,,98.8,6577390.1620000005,2026-02-27T23:59:59Z,1772236799999,1772235863969,2026-02-27T23:44:23Z,0.0001,sell,98.8,98.8,46
BTC-28FEB26-61000-P,put,61000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65835.02,105.91,0.0001601,,,,83.6,5512100.674,2026-02-27T23:59:59Z,1772236799999,1772235885549,2026-02-27T23:44:45Z,0.0001,buy,83.6,83.6,42
BTC-28FEB26-61500-P,put,61500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65619.06,95.5,0.00025613,,,,140.7,9315328.313000001,2026-02-27T23:59:59Z,1772236799999,1772227937029,2026-02-27T21:32:17Z,0.0003,buy,140.7,140.7,76
BTC-28FEB26-62000-C,call,62000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,68369.15,89.91,0.09495992,,,,0.0,0.0,2026-02-27T23:59:59Z,1772236799999,1772065358698,2026-02-26T00:22:38Z,0.0955,buy,0.0,0.0,0
BTC-28FEB26-62000-P,put,62000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65612.39,87.05,0.00036107,,,,566.6,37389361.595,2026-02-27T23:59:59Z,1772236799999,1772225685286,2026-02-27T20:54:45Z,0.0004,buy,566.6,566.6,275
BTC-28FEB26-62500-C,call,62500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,67301.34,0.0,0.07235892,,,,0.0,0.0,2026-02-27T23:59:59Z,1772236799999,1772139097746,2026-02-26T20:51:37Z,0.0705,sell,0.0,0.0,0
BTC-28FEB26-62500-P,put,62500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65536.73,82.95,0.00045578,,,,39.9,2632247.013,2026-02-27T23:59:59Z,1772236799999,1772229892298,2026-02-27T22:04:52Z,0.0005,sell,39.9,39.9,64
BTC-28FEB26-63000-C,call,63000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,67591.02,86.23,0.06846369,,,,0.7000000000000001,47207.732,2026-02-27T23:59:59Z,1772236799999,1772175836564,2026-02-27T07:03:56Z,0.069,buy,0.7000000000000001,0.7000000000000001,4
BTC-28FEB26-63000-P,put,63000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65657.63,74.77,0.00039691,,,,86.5,5734875.738,2026-02-27T23:59:59Z,1772236799999,1772233399204,2026-02-27T23:03:19Z,0.0004,buy,86.5,86.5,97
BTC-28FEB26-63500-C,call,63500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,69329.68,74.46,0.08580972,,,,0.0,0.0,2026-02-27T23:59:59Z,1772236799999,1772044350885,2026-02-25T18:32:30Z,0.086,sell,0.0,0.0,0
BTC-28FEB26-63500-P,put,63500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65868.59,62.49,0.00032469,,,,1100.7,72204833.917,2026-02-27T23:59:59Z,1772236799999,1772236092349,2026-02-27T23:48:12Z,0.0002,sell,1100.7,1100.7,258
BTC-28FEB26-64000-C,call,64000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65411.7,53.45,0.02259659,,,,3.1,203979.71,2026-02-27T23:59:59Z,1772236799999,1772231611993,2026-02-27T22:33:31Z,0.0225,sell,3.1,3.1,9
BTC-28FEB26-64000-P,put,64000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65462.75,57.68,0.00091965,,,,243.1,16017403.958,2026-02-27T23:59:59Z,1772236799999,1772230951943,2026-02-27T22:22:31Z,0.0011,buy,243.1,243.1,189
BTC-28FEB26-64500-C,call,64500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65308.92,45.43,0.01398306,,,,1.3,84738.93400000001,2026-02-27T23:59:59Z,1772236799999,1772231995260,2026-02-27T22:39:55Z,0.014,sell,1.3,1.3,4
BTC-28FEB26-64500-P,put,64500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65659.17,43.62,0.00077408,,,,183.6,12087264.249,2026-02-27T23:59:59Z,1772236799999,1772232403836,2026-02-27T22:46:43Z,0.0007,sell,183.6,183.6,177
BTC-28FEB26-65000-C,call,65000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65798.03,37.7,0.01291629,,,,26.400000000000002,1725988.5890000002,2026-02-27T23:59:59Z,1772236799999,1772233775031,2026-02-27T23:09:35Z,0.013,buy,26.400000000000002,26.400000000000002,58
BTC-28FEB26-65000-P,put,65000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65835.13,35.74,0.00082126,,,,385.9,25587033.437,2026-02-27T23:59:59Z,1772236799999,1772234884301,2026-02-27T23:28:04Z,0.0007,buy,385.9,385.9,402
BTC-28FEB26-65500-C,call,65500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65734.76,27.44,0.00572779,,,,132.5,8727119.837,2026-02-27T23:59:59Z,1772236799999,1772234182086,2026-02-27T23:16:22Z,0.0055,sell,132.5,132.5,123
BTC-28FEB26-65500-P,put,65500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65897.21,26.76,0.00131458,,,,187.4,12381902.040000001,2026-02-27T23:59:59Z,1772236799999,1772236019077,2026-02-27T23:46:59Z,0.0011,sell,187.4,187.4,223
BTC-28FEB26-66000-C,call,66000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65872.78,23.52,0.00191749,,,,111.3,7316940.528,2026-02-27T23:59:59Z,1772236799999,1772236067067,2026-02-27T23:47:47Z,0.002,sell,111.3,111.3,292
BTC-28FEB26-66000-P,put,66000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65821.43,27.33,0.00450629,,,,124.9,8314766.611,2026-02-27T23:59:59Z,1772236799999,1772234310476,2026-02-27T23:18:30Z,0.005,sell,124.9,124.9,108
BTC-28FEB26-66500-C,call,66500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65907.5,25.83,0.00038896,,,,228.1,15051688.158,2026-02-27T23:59:59Z,1772236799999,1772236333162,2026-02-27T23:52:13Z,0.0005,buy,228.1,228.1,172
BTC-28FEB26-66500-P,put,66500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65132.72,41.04,0.02121386,,,,214.7,14371263.742,2026-02-27T23:59:59Z,1772236799999,1772231733366,2026-02-27T22:35:33Z,0.0215,sell,214.7,214.7,61
BTC-28FEB26-67000-C,call,67000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65946.02,31.11,0.00020941,,,,97.0,6379803.721,2026-02-27T23:59:59Z,1772236799999,1772235393742,2026-02-27T23:36:33Z,0.0002,buy,97.0,97.0,88
BTC-28FEB26-67000-P,put,67000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65656.86,44.09,0.02071554,,,,21.0,1414663.325,2026-02-27T23:59:59Z,1772236799999,1772232498595,2026-02-27T22:48:18Z,0.021,buy,21.0,21.0,29
BTC-28FEB26-67500-C,call,67500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65579.49,43.52,6.743e-05,,,,157.6,10478206.443,2026-02-27T23:59:59Z,1772236799999,1772233085647,2026-02-27T22:58:05Z,0.0001,sell,157.6,157.6,99
BTC-28FEB26-67500-P,put,67500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65132.72,67.4,0.03651657,,,,39.3,2641780.785,2026-02-27T23:59:59Z,1772236799999,1772231732829,2026-02-27T22:35:32Z,0.037,sell,39.3,39.3,51
BTC-28FEB26-68000-C,call,68000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65766.9,49.59,6.107e-05,,,,110.8,7435822.125,2026-02-27T23:59:59Z,1772236799999,1772233566935,2026-02-27T23:06:06Z,0.0001,buy,110.8,110.8,103
BTC-28FEB26-68000-P,put,68000.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65058.64,66.39,0.0452875,,,,25.400000000000002,1712048.621,2026-02-27T23:59:59Z,1772236799999,1772231713340,2026-02-27T22:35:13Z,0.0455,sell,25.400000000000002,25.400000000000002,35
BTC-28FEB26-68500-C,call,68500.0,1772236800000,2026-02-28T00:00:00Z,3.168808781402895e-11,65512.94,51.22,0.00012844,,,,42.7,2841380.462,2026-02-27T23:59:59Z,1772236799999,1772216414552,2026-02-27T18:20:14Z,0.0001,sell,42.7,42.7,47
