instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-8MAR26-61000-P,put,61000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,68207.91,75.68,8.492e-05,,,,0.1,6820.791000000001,2026-03-07T23:59:59Z,1772927999999,1772842641313,2026-03-07T00:17:21Z,0.0001,buy,0.1,0.1,1
BTC-8MAR26-62000-P,put,62000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67327.43,113.29,0.00010804,,,,21.4,1453666.0729999999,2026-03-07T23:59:59Z,1772927999999,1772927021454,2026-03-07T23:43:41Z,0.0001,sell,21.4,21.4,10
BTC-8MAR26-63000-P,put,63000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67606.83,76.4,0.00014837,,,,17.3,1177343.821,2026-03-07T23:59:59Z,1772927999999,1772906986204,2026-03-07T18:09:46Z,0.0001,sell,17.3,17.3,13
BTC-8MAR26-64000-C,call,64000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67657.81,0.0,0.05426136,,,,0.3,20297.342999999997,2026-03-07T23:59:59Z,1772927999999,1772906573267,2026-03-07T18:02:53Z,0.0535,sell,0.3,0.3,1
BTC-8MAR26-64000-P,put,64000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67378.55,81.24,0.00022184,,,,48.7,3307188.363,2026-03-07T23:59:59Z,1772927999999,1772925792357,2026-03-07T23:23:12Z,0.0002,sell,48.7,48.7,24
BTC-8MAR26-65000-C,call,65000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67035.23,0.0,0.03104927,,,,0.8,53744.62000000001,2026-03-07T23:59:59Z,1772927999999,1772913182335,2026-03-07T19:53:02Z,0.03,buy,0.8,0.8,5
BTC-8MAR26-65000-P,put,65000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67252.47,63.94,0.00048203,,,,193.4,13095690.116,2026-03-07T23:59:59Z,1772927999999,1772924555997,2026-03-07T23:02:35Z,0.0004,sell,193.4,193.4,101
BTC-8MAR26-66000-P,put,66000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67356.3,54.7,0.0012453,,,,116.5,7918981.88,2026-03-07T23:59:59Z,1772927999999,1772919319160,2026-03-07T21:35:19Z,0.0013,buy,116.5,116.5,161
BTC-8MAR26-66500-C,call,66500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67052.68,45.57,0.01124158,,,,2.2,148981.093,2026-03-07T23:59:59Z,1772927999999,1772913066454,2026-03-07T19:51:06Z,0.0115,buy,2.2,2.2,10
BTC-8MAR26-66500-P,put,66500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67234.3,45.73,0.00266441,,,,42.9,2916868.805,2026-03-07T23:59:59Z,1772927999999,1772914038834,2026-03-07T20:07:18Z,0.0026,buy,42.9,42.9,86
BTC-8MAR26-67000-C,call,67000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67356.04,43.64,0.00860225,,,,2.7,183408.223,2026-03-07T23:59:59Z,1772927999999,1772925485963,2026-03-07T23:18:05Z,0.0085,buy,2.7,2.7,15
BTC-8MAR26-67000-P,put,67000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67315.42,44.16,0.00420419,,,,36.3,2462400.014,2026-03-07T23:59:59Z,1772927999999,1772915824319,2026-03-07T20:37:04Z,0.0043,sell,36.3,36.3,67
BTC-8MAR26-67500-C,call,67500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67373.82,38.49,0.00412532,,,,89.4,6078621.543,2026-03-07T23:59:59Z,1772927999999,1772926173322,2026-03-07T23:29:33Z,0.0039,buy,89.4,89.4,28
BTC-8MAR26-67500-P,put,67500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67455.86,41.78,0.00577182,,,,96.5,6554167.209,2026-03-07T23:59:59Z,1772927999999,1772920802548,2026-03-07T22:00:02Z,0.006,buy,96.5,96.5,137
BTC-8MAR26-68000-C,call,68000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67241.58,42.58,0.00116091,,,,114.10000000000001,7750719.849,2026-03-07T23:59:59Z,1772927999999,1772927436868,2026-03-07T23:50:36Z,0.0014,buy,114.10000000000001,114.10000000000001,167
BTC-8MAR26-68000-P,put,68000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67461.15,39.76,0.01033593,,,,166.1,11299672.022,2026-03-07T23:59:59Z,1772927999999,1772918273238,2026-03-07T21:17:53Z,0.0105,sell,166.1,166.1,254
BTC-8MAR26-68500-C,call,68500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67276.54,42.96,0.00047719,,,,106.5,7226936.9799999995,2026-03-07T23:59:59Z,1772927999999,1772927771611,2026-03-07T23:56:11Z,0.0005,sell,106.5,106.5,160
BTC-8MAR26-68500-P,put,68500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67388.1,38.57,0.01765423,,,,5.0,338821.27400000003,2026-03-07T23:59:59Z,1772927999999,1772915926176,2026-03-07T20:38:46Z,0.0175,sell,5.0,5.0,24
BTC-8MAR26-69000-C,call,69000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67244.61,47.98,0.00021572,,,,93.3,6345557.086,2026-03-07T23:59:59Z,1772927999999,1772924476501,2026-03-07T23:01:16Z,0.0003,buy,93.3,93.3,95
BTC-8MAR26-69000-P,put,69000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67780.19,39.16,0.01852553,,,,3.1,210995.538,2026-03-07T23:59:59Z,1772927999999,1772906298848,2026-03-07T17:58:18Z,0.019,sell,3.1,3.1,8
BTC-8MAR26-69500-C,call,69500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67257.34,47.42,0.00016132,,,,96.1,6525848.149,2026-03-07T23:59:59Z,1772927999999,1772914519689,2026-03-07T20:15:19Z,0.0002,buy,96.1,96.1,121
BTC-8MAR26-69500-P,put,69500.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67871.53,34.29,0.02480768,,,,2.1,143069.313,2026-03-07T23:59:59Z,1772927999999,1772856263207,2026-03-07T04:04:23Z,0.025,buy,2.1,2.1,11
BTC-8MAR26-70000-C,call,70000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67382.62,56.59,0.00014814,,,,92.1,6261467.954,2026-03-07T23:59:59Z,1772927999999,1772925935949,2026-03-07T23:25:35Z,0.0001,sell,92.1,92.1,104
BTC-8MAR26-70000-P,put,70000.0,1772928000000,2026-03-08T00:00:00Z,3.168808781402895e-11,67267.52,60.33,0.04076002,,,,2.3,155971.83000000002,2026-03-07T23:59:59Z,1772927999999,1772911990468,2026-03-07T19:33:10Z,0.041,buy,2.3,2.3,15
