instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-13MAR26-50000-C,call,50000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,69698.4,196.14,0.28253093,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773222495402,2026-03-11T09:48:15Z,0.283,buy,0.0,0.0,0
BTC-13MAR26-50000-P,put,50000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,70799.27,140.4,0.00014191,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773130615670,2026-03-10T08:16:55Z,0.0001,sell,0.0,0.0,0
BTC-13MAR26-55000-C,call,55000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,70921.83,112.8,0.22449913,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773134554690,2026-03-10T09:22:34Z,0.2245,sell,0.0,0.0,0
BTC-13MAR26-55000-P,put,55000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,69583.83,120.53,5.512e-05,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773217247554,2026-03-11T08:20:47Z,0.0001,buy,0.0,0.0,0
BTC-13MAR26-58000-C,call,58000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,69698.4,125.77,0.16785598,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773222495518,2026-03-11T09:48:15Z,0.1685,buy,0.0,0.0,0
BTC-13MAR26-58000-P,put,58000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,71073.82,111.98,0.00010127,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773236410635,2026-03-11T13:40:10Z,0.0001,sell,0.0,0.0,0
BTC-13MAR26-60000-C,call,60000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,69658.39,81.33,0.13908702,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773109822937,2026-03-10T02:30:22Z,0.1395,buy,0.0,0.0,0
BTC-13MAR26-60000-P,put,60000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,69613.02,101.12,9.973e-05,,,,0.1,6961.302000000001,2026-03-12T23:59:59Z,1773359999999,1773282685621,2026-03-12T02:31:25Z,0.0001,buy,0.1,0.1,1
BTC-13MAR26-61000-C,call,61000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,70717.98,88.57,0.13794291,,,,0.0,0.0,2026-03-12T23:59:59Z,1773359999999,1773148783057,2026-03-10T13:19:43Z,0.138,sell,0.0,0.0,0
BTC-13MAR26-61000-P,put,61000.0,1773360000000,2026-03-13T00:00:00Z,3.168808781402895e-11,69314.3,96.82,0.00015321,,,,16.8,1166976.967,2026-03-12T23:59:59Z,1773359999999,1773284125416,2026-03-12T02:55:25Z,0.0002,buy,16.8,16.8,12
