instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-4MAR26-56000-C,call,56000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,65738.65,0.0,0.14861493,,,,0.0,0.0,2026-03-03T23:59:59Z,1772582399999,1772458858765,2026-03-02T13:40:58Z,0.1475,sell,0.0,0.0,0
BTC-4MAR26-56000-P,put,56000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,66895.85,141.95,0.00013749,,,,51.9,3498044.948,2026-03-03T23:59:59Z,1772582399999,1772536566884,2026-03-03T11:16:06Z,0.0001,sell,51.9,51.9,17
BTC-4MAR26-57000-P,put,57000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,66907.25,138.66,9.326e-05,,,,7.6,516421.7070000001,2026-03-03T23:59:59Z,1772582399999,1772546383108,2026-03-03T13:59:43Z,0.0001,buy,7.6,7.6,11
BTC-4MAR26-58000-P,put,58000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,66672.47,126.29,0.00012031,,,,31.4,2104583.167,2026-03-03T23:59:59Z,1772582399999,1772550371596,2026-03-03T15:06:11Z,0.0001,buy,31.4,31.4,21
BTC-4MAR26-59000-P,put,59000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,66711.28,118.31,0.00017975,,,,62.4,4235506.59,2026-03-03T23:59:59Z,1772582399999,1772545701691,2026-03-03T13:48:21Z,0.0002,sell,62.4,62.4,31
BTC-4MAR26-60000-P,put,60000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,68028.76,121.45,8.276e-05,,,,68.4,4619665.983,2026-03-03T23:59:59Z,1772582399999,1772556577541,2026-03-03T16:49:37Z,0.0001,buy,68.4,68.4,53
BTC-4MAR26-61000-P,put,61000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,68549.96,120.76,6.815e-05,,,,61.300000000000004,4148360.148,2026-03-03T23:59:59Z,1772582399999,1772562743374,2026-03-03T18:32:23Z,0.0001,buy,61.300000000000004,61.300000000000004,34
BTC-4MAR26-61500-P,put,61500.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,68484.74,112.2,9.467e-05,,,,74.9,5075224.274,2026-03-03T23:59:59Z,1772582399999,1772562631351,2026-03-03T18:30:31Z,0.0001,sell,74.9,74.9,35
BTC-4MAR26-62000-P,put,62000.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,68037.34,112.55,0.00012311,,,,124.4,8380820.806,2026-03-03T23:59:59Z,1772582399999,1772573936802,2026-03-03T21:38:56Z,0.0001,sell,124.4,124.4,64
BTC-4MAR26-62500-P,put,62500.0,1772582400000,2026-03-04T00:00:00Z,3.168808781402895e-11,68529.99,106.35,0.00011876,,,,55.800000000000004,3745732.643,2026-03-03T23:59:59Z,1772582399999,1772570181922,2026-03-03T20:36:21Z,0.0001,sell,55.800000000000004,55.800000000000004,45
