instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-10MAR26-61000-P,put,61000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68524.96,119.63,8.161e-05,,,,222.7,15040889.762,2026-03-09T23:59:59Z,1773100799999,1773080582139,2026-03-09T18:23:02Z,0.0001,sell,222.7,222.7,93
BTC-10MAR26-62000-C,call,62000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68789.04,0.0,0.09876334,,,,0.3,20636.711999999996,2026-03-09T23:59:59Z,1773100799999,1773073999635,2026-03-09T16:33:19Z,0.0975,sell,0.3,0.3,1
BTC-10MAR26-62000-P,put,62000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68639.29,132.64,1.09e-05,,,,74.7,5051717.85,2026-03-09T23:59:59Z,1773100799999,1773098075647,2026-03-09T23:14:35Z,0.0001,buy,74.7,74.7,103
BTC-10MAR26-63000-P,put,63000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68750.76,111.9,2.415e-05,,,,92.1,6231581.828,2026-03-09T23:59:59Z,1773100799999,1773095782533,2026-03-09T22:36:22Z,0.0001,buy,92.1,92.1,96
BTC-10MAR26-64000-C,call,64000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,67054.9,78.68,0.05110351,,,,0.0,0.0,2026-03-09T23:59:59Z,1773100799999,1773004180284,2026-03-08T21:09:40Z,0.05,sell,0.0,0.0,0
BTC-10MAR26-64000-P,put,64000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68465.51,96.18,8.935e-05,,,,191.3,13012478.566,2026-03-09T23:59:59Z,1773100799999,1773100411646,2026-03-09T23:53:31Z,0.0001,buy,191.3,191.3,180
BTC-10MAR26-65000-P,put,65000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68555.83,85.55,0.00022154,,,,105.8,7208193.285,2026-03-09T23:59:59Z,1773100799999,1773100005894,2026-03-09T23:46:45Z,0.0002,buy,105.8,105.8,135
BTC-10MAR26-65500-C,call,65500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,66972.76,80.74,0.03009198,,,,12.200000000000001,817059.9559999999,2026-03-09T23:59:59Z,1773100799999,1773025709130,2026-03-09T03:08:29Z,0.031,buy,12.200000000000001,12.200000000000001,3
BTC-10MAR26-65500-P,put,65500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68689.72,71.27,0.00063668,,,,140.2,9504955.222,2026-03-09T23:59:59Z,1773100799999,1773077688609,2026-03-09T17:34:48Z,0.0006,buy,140.2,140.2,88
BTC-10MAR26-66000-C,call,66000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,67027.17,82.22,0.0259866,,,,1.0,66498.017,2026-03-09T23:59:59Z,1773100799999,1773040817363,2026-03-09T07:20:17Z,0.026,buy,1.0,1.0,3
BTC-10MAR26-66000-P,put,66000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68632.28,76.66,0.00039665,,,,142.3,9710312.698,2026-03-09T23:59:59Z,1773100799999,1773098925924,2026-03-09T23:28:45Z,0.0005,buy,142.3,142.3,159
BTC-10MAR26-66500-C,call,66500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68094.11,72.49,0.02889403,,,,12.0,802999.504,2026-03-09T23:59:59Z,1773100799999,1773050142683,2026-03-09T09:55:42Z,0.029,sell,12.0,12.0,10
BTC-10MAR26-66500-P,put,66500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68561.84,68.82,0.00072541,,,,123.2,8430335.005,2026-03-09T23:59:59Z,1773100799999,1773099402585,2026-03-09T23:36:42Z,0.0007,sell,123.2,123.2,113
BTC-10MAR26-67000-C,call,67000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68998.0,73.9,0.03251341,,,,8.4,565569.79,2026-03-09T23:59:59Z,1773100799999,1773064318892,2026-03-09T13:51:58Z,0.0325,sell,8.4,8.4,15
BTC-10MAR26-67000-P,put,67000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68783.38,63.47,0.00105143,,,,180.0,12295050.809,2026-03-09T23:59:59Z,1773100799999,1773094160616,2026-03-09T22:09:20Z,0.0011,sell,180.0,180.0,110
BTC-10MAR26-67500-C,call,67500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68993.18,46.25,0.02342374,,,,90.4,6177001.651000001,2026-03-09T23:59:59Z,1773100799999,1773085363348,2026-03-09T19:42:43Z,0.0225,sell,90.4,90.4,42
BTC-10MAR26-67500-P,put,67500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68573.35,57.09,0.00310715,,,,73.9,5061885.237,2026-03-09T23:59:59Z,1773100799999,1773081424174,2026-03-09T18:37:04Z,0.0031,buy,73.9,73.9,104
BTC-10MAR26-68000-C,call,68000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,69097.85,53.28,0.01813772,,,,28.3,1906250.468,2026-03-09T23:59:59Z,1773100799999,1773090511954,2026-03-09T21:08:31Z,0.018,sell,28.3,28.3,70
BTC-10MAR26-68000-P,put,68000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68614.52,56.2,0.0033973,,,,108.3,7393783.874,2026-03-09T23:59:59Z,1773100799999,1773098761932,2026-03-09T23:26:01Z,0.0034,sell,108.3,108.3,111
BTC-10MAR26-68500-C,call,68500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68604.74,54.03,0.00746215,,,,209.6,14337096.228,2026-03-09T23:59:59Z,1773100799999,1773099003020,2026-03-09T23:30:03Z,0.0075,sell,209.6,209.6,85
BTC-10MAR26-68500-P,put,68500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68632.93,51.53,0.00579848,,,,37.0,2540867.61,2026-03-09T23:59:59Z,1773100799999,1773098827977,2026-03-09T23:27:07Z,0.0055,sell,37.0,37.0,56
BTC-10MAR26-69000-C,call,69000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,69087.1,48.8,0.00766506,,,,185.5,12604724.061,2026-03-09T23:59:59Z,1773100799999,1773090348898,2026-03-09T21:05:48Z,0.0075,buy,185.5,185.5,176
BTC-10MAR26-69000-P,put,69000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68951.79,48.18,0.00746659,,,,36.0,2474100.15,2026-03-09T23:59:59Z,1773100799999,1773093602071,2026-03-09T22:00:02Z,0.007,sell,36.0,36.0,40
BTC-10MAR26-69500-C,call,69500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68715.74,52.65,0.00256464,,,,214.6,14683318.207,2026-03-09T23:59:59Z,1773100799999,1773096402903,2026-03-09T22:46:42Z,0.0026,sell,214.6,214.6,179
BTC-10MAR26-69500-P,put,69500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68318.94,51.93,0.01965024,,,,25.0,1721113.0,2026-03-09T23:59:59Z,1773100799999,1773078201181,2026-03-09T17:43:21Z,0.0199,sell,25.0,25.0,2
BTC-10MAR26-70000-C,call,70000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68545.81,55.88,0.000965,,,,404.5,27870275.247999996,2026-03-09T23:59:59Z,1773100799999,1773098510664,2026-03-09T23:21:50Z,0.001,sell,404.5,404.5,139
BTC-10MAR26-70000-P,put,70000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,66012.54,63.24,0.06188796,,,,0.30000000000000004,19809.546000000002,2026-03-09T23:59:59Z,1773100799999,1773016027182,2026-03-09T00:27:07Z,0.0615,buy,0.30000000000000004,0.30000000000000004,2
BTC-10MAR26-70500-C,call,70500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68579.38,58.24,0.00052684,,,,78.3,5357124.221,2026-03-09T23:59:59Z,1773100799999,1773099300329,2026-03-09T23:35:00Z,0.0005,buy,78.3,78.3,68
BTC-10MAR26-70500-P,put,70500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,69300.22,51.29,0.02154465,,,,0.4,27267.499,2026-03-09T23:59:59Z,1773100799999,1773066676997,2026-03-09T14:31:16Z,0.021,sell,0.4,0.4,2
BTC-10MAR26-71000-C,call,71000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68539.92,64.37,0.00029676,,,,111.0,7599407.8,2026-03-09T23:59:59Z,1773100799999,1773099849592,2026-03-09T23:44:09Z,0.0003,sell,111.0,111.0,83
BTC-10MAR26-71000-P,put,71000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,70322.63,48.42,0.0254308,,,,0.0,0.0,2026-03-09T23:59:59Z,1773100799999,1772797745119,2026-03-06T11:49:05Z,0.025,sell,0.0,0.0,0
BTC-10MAR26-71500-C,call,71500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68954.02,61.71,0.00050908,,,,57.1,3881540.942,2026-03-09T23:59:59Z,1773100799999,1773088237691,2026-03-09T20:30:37Z,0.0005,sell,57.1,57.1,54
BTC-10MAR26-71500-P,put,71500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68975.23,74.79,0.03710283,,,,0.3,20692.569,2026-03-09T23:59:59Z,1773100799999,1773070414622,2026-03-09T15:33:34Z,0.0385,buy,0.3,0.3,1
BTC-10MAR26-72000-C,call,72000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68545.65,71.88,0.00013775,,,,131.8,9051856.644,2026-03-09T23:59:59Z,1773100799999,1773100025568,2026-03-09T23:47:05Z,0.0001,sell,131.8,131.8,71
BTC-10MAR26-72500-C,call,72500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68514.39,80.18,9.622e-05,,,,123.1,8485776.0,2026-03-09T23:59:59Z,1773100799999,1773099904250,2026-03-09T23:45:04Z,0.0001,buy,123.1,123.1,21
BTC-10MAR26-73000-C,call,73000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68645.64,84.56,0.00010616,,,,406.0,27956358.036000002,2026-03-09T23:59:59Z,1773100799999,1773098162664,2026-03-09T23:16:02Z,0.0001,buy,406.0,406.0,57
BTC-10MAR26-73000-P,put,73000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68796.01,132.1,0.0611729,,,,0.1,6879.601,2026-03-09T23:59:59Z,1773100799999,1773092427423,2026-03-09T21:40:27Z,0.0625,buy,0.1,0.1,1
BTC-10MAR26-73500-C,call,73500.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68987.88,88.21,0.00023467,,,,435.8,29954825.081,2026-03-09T23:59:59Z,1773100799999,1773087883850,2026-03-09T20:24:43Z,0.0003,sell,435.8,435.8,78
BTC-10MAR26-74000-C,call,74000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68711.18,96.88,6.851e-05,,,,102.1,6963270.288000001,2026-03-09T23:59:59Z,1773100799999,1773096404090,2026-03-09T22:46:44Z,0.0001,buy,102.1,102.1,37
BTC-10MAR26-75000-C,call,75000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68952.21,96.92,9.296e-05,,,,77.2,5236424.088,2026-03-09T23:59:59Z,1773100799999,1773088306720,2026-03-09T20:31:46Z,0.0001,buy,77.2,77.2,24
BTC-10MAR26-76000-C,call,76000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68991.53,108.26,8.25e-06,,,,44.8,3015788.2509999997,2026-03-09T23:59:59Z,1773100799999,1773087297943,2026-03-09T20:14:57Z,0.0001,buy,44.8,44.8,16
BTC-10MAR26-76000-P,put,76000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,68789.04,150.26,0.10491501,,,,0.2,13757.807999999999,2026-03-09T23:59:59Z,1773100799999,1773073999778,2026-03-09T16:33:19Z,0.1065,buy,0.2,0.2,2
BTC-10MAR26-77000-C,call,77000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,67415.32,99.92,8.026e-05,,,,1.0,67314.57500000001,2026-03-09T23:59:59Z,1773100799999,1773042737430,2026-03-09T07:52:17Z,0.0001,buy,1.0,1.0,2
BTC-10MAR26-78000-C,call,78000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,67428.85,77.29,0.00010558,,,,0.0,0.0,2026-03-09T23:59:59Z,1773100799999,1772959260823,2026-03-08T08:41:00Z,0.0001,buy,0.0,0.0,0
BTC-10MAR26-79000-C,call,79000.0,1773100800000,2026-03-10T00:00:00Z,3.168808781402895e-11,67403.98,82.23,8.642e-05,,,,0.0,0.0,2026-03-09T23:59:59Z,1773100799999,1772954421521,2026-03-08T07:20:21Z,0.0001,sell,0.0,0.0,0
BTC-11MAR26-60000-P,put,60000.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,68699.9,87.64,0.00010916,,,,35.0,2385508.602,2026-03-09T23:59:59Z,1773100799999,1773096449947,2026-03-09T22:47:29Z,0.0001,buy,35.0,35.0,49
BTC-11MAR26-61000-P,put,61000.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,68576.64,85.07,0.00022665,,,,781.1,51676545.434999995,2026-03-09T23:59:59Z,1773100799999,1773099271828,2026-03-09T23:34:31Z,0.0002,buy,781.1,781.1,54
BTC-11MAR26-62000-P,put,62000.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,68427.8,87.13,0.00042714,,,,55.699999999999996,3758291.524,2026-03-09T23:59:59Z,1773100799999,1773100516831,2026-03-09T23:55:16Z,0.0006,buy,55.699999999999996,55.699999999999996,47
BTC-11MAR26-63000-P,put,63000.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,68730.29,84.84,0.00069772,,,,23.0,1566941.382,2026-03-09T23:59:59Z,1773100799999,1773092428587,2026-03-09T21:40:28Z,0.001,buy,23.0,23.0,38
BTC-11MAR26-64000-P,put,64000.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,69095.07,73.21,0.00092867,,,,779.0,51545567.247999996,2026-03-09T23:59:59Z,1773100799999,1773090554789,2026-03-09T21:09:14Z,0.0009,buy,779.0,779.0,70
BTC-11MAR26-64500-P,put,64500.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,69131.11,70.06,0.00125858,,,,17.5,1161568.928,2026-03-09T23:59:59Z,1773100799999,1773084330912,2026-03-09T19:25:30Z,0.0012,sell,17.5,17.5,12
BTC-11MAR26-65000-P,put,65000.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,68624.14,69.88,0.00193596,,,,79.2,5399093.851,2026-03-09T23:59:59Z,1773100799999,1773098776745,2026-03-09T23:26:16Z,0.002,sell,79.2,79.2,46
BTC-11MAR26-65500-P,put,65500.0,1773187200000,2026-03-11T00:00:00Z,0.002737850818820189,69466.51,68.64,0.00176429,,,,15.7,1059368.268,2026-03-09T23:59:59Z,1773100799999,1773084610900,2026-03-09T19:30:10Z,0.0019,sell,15.7,15.7,6
