timestamp_ms,datetime_utc,open,high,low,close,volume
1741737600000,2025-03-12 00:00:00,82908.61,84433.68,80572,83660.81,924.72005279
1741824000000,2025-03-13 00:00:00,83660.81,84305.73,79896.79,81054.05,627.72006123
1741910400000,2025-03-14 00:00:00,81054.05,85318,80797.51,83966.64,842.56039125
1741996800000,2025-03-15 00:00:00,83966.64,84678.99,83639.43,84327.77,137.31054827
1742083200000,2025-03-16 00:00:00,84327.77,85108,81968.04,82571.6,234.11952344
1742169600000,2025-03-17 00:00:00,82571.6,84749.03,82431.58,83998.03,557.56635058
1742256000000,2025-03-18 00:00:00,83998.03,84021.7,81118.74,82682.71,600.42893243
1742342400000,2025-03-19 00:00:00,82682.71,87035.39,82524.42,86887.05,811.6378735
1742428800000,2025-03-20 00:00:00,86887.05,87486.72,83583.57,84188.08,637.64706357
1742515200000,2025-03-21 00:00:00,84188.08,84807.02,83117.67,84037.67,345.11044187
1742601600000,2025-03-22 00:00:00,84037.67,84472.24,83657.58,83833.52,80.42007869
1742688000000,2025-03-23 00:00:00,83833.52,86117.92,83800.77,86085.19,142.81608031
1742774400000,2025-03-24 00:00:00,86085.19,88806.34,85551.29,87523.72,590.48129782
1742860800000,2025-03-25 00:00:00,87523.72,88580.34,86320.59,87463.22,497.20429655
1742947200000,2025-03-26 00:00:00,87463.22,88289.98,85851.45,86907.25,524.34381008
1743033600000,2025-03-27 00:00:00,86907.25,87771.42,85826,87223.2,594.77478335
1743120000000,2025-03-28 00:00:00,87223.2,87504.15,83528,84375,584.1849349
1743206400000,2025-03-29 00:00:00,84375,84582.02,81625.92,82593.16,129.06854523
1743292800000,2025-03-30 00:00:00,82593.16,83542.04,81529.17,82324.11,140.0079296
1743379200000,2025-03-31 00:00:00,82324.11,83921.11,81274.96,82558.5,388.23686895
1743465600000,2025-04-01 00:00:00,82558.5,85560.92,82415.85,85198.57,601.22645689
1743552000000,2025-04-02 00:00:00,85198.57,88545.99,82261.99,82481.46,840.99761723
1743638400000,2025-04-03 00:00:00,82481.46,83933.3,81172.08,83151.13,651.14349735
