timestamp_ms,datetime_utc,open,high,low,close,volume
1773244800000,2026-03-11 16:00:00,70238.96,70266.07,70227.19,70227.19,0.0552525
1773244860000,2026-03-11 16:01:00,70227.19,70334,70227.19,70317.91,2.01158336
1773244920000,2026-03-11 16:02:00,70317.91,70381.56,70298.93,70381.56,0.01071418
1773244980000,2026-03-11 16:03:00,70381.56,70381.56,70325.51,70346.64,0.19351754
1773245040000,2026-03-11 16:04:00,70346.64,70346.64,70215.61,70218.39,0.22963146
1773245100000,2026-03-11 16:05:00,70218.39,70335.97,70218.39,70335.97,0.09934715
1773245160000,2026-03-11 16:06:00,70335.97,70431.4,70335.97,70431.4,1.17053111
1773245220000,2026-03-11 16:07:00,70431.4,70434.99,70360.29,70360.29,0.23651295
1773245280000,2026-03-11 16:08:00,70360.29,70433.64,70359.5,70413.38,1.16064408
1773245340000,2026-03-11 16:09:00,70413.38,70413.38,70413.38,70413.38,0
1773245400000,2026-03-11 16:10:00,70413.38,70466.75,70400.66,70466.75,0.0547295
1773245460000,2026-03-11 16:11:00,70466.75,70480.51,70400.65,70400.65,0.16257393
1773245520000,2026-03-11 16:12:00,70400.65,70400.65,70285.13,70342.94,0.11482592
1773245580000,2026-03-11 16:13:00,70342.94,70458.45,70342.94,70458.45,1.67636245
1773245640000,2026-03-11 16:14:00,70458.45,70461.99,70458.45,70461.99,0.017
1773245700000,2026-03-11 16:15:00,70461.99,70465.03,70408.91,70410.85,0.06520418
1773245760000,2026-03-11 16:16:00,70410.85,70410.85,70341.9,70409.53,0.06238685
1773245820000,2026-03-11 16:17:00,70409.53,70410.92,70376.79,70387.71,0.0072067
1773245880000,2026-03-11 16:18:00,70387.71,70498.85,70387.71,70495.68,0.10786172
1773245940000,2026-03-11 16:19:00,70495.68,70495.68,70422.5,70422.5,0.12629203
1773246000000,2026-03-11 16:20:00,70422.5,70422.5,70332.45,70345.98,0.01113218
1773246060000,2026-03-11 16:21:00,70345.98,70372.14,70334.5,70372.14,0.00887384
1773246120000,2026-03-11 16:22:00,70372.14,70444.02,70372.14,70444.02,0.07330858
1773246180000,2026-03-11 16:23:00,70444.02,70579.09,70435.45,70435.45,0.05225912
1773246240000,2026-03-11 16:24:00,70435.45,70435.45,70391.07,70415.8,0.00067645
1773246300000,2026-03-11 16:25:00,70415.8,70469.8,70415.8,70437.07,0.02257894
1773246360000,2026-03-11 16:26:00,70437.07,70446.99,70408.02,70410.99,0.11550082
1773246420000,2026-03-11 16:27:00,70410.99,70509.7,70410.99,70505.9,0.00156645
1773246480000,2026-03-11 16:28:00,70505.9,70508.84,70471.63,70478.18,0.29134395
1773246540000,2026-03-11 16:29:00,70478.18,70496.59,70463.83,70485.86,0.1291889
