instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,snapshot_source,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,trade_amount_btc,trades_in_lookback,contracts_traded_lookback,trade_amount_btc_lookback,creation_ts_ms,instrument_state
BTC-12MAR26-59000-C,call,59000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1773007440000,delivered
BTC-12MAR26-59000-P,put,59000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1773007440000,delivered
BTC-12MAR26-60000-C,call,60000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-60000-P,put,60000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-61000-C,call,61000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-61000-P,put,61000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-62000-C,call,62000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-62000-P,put,62000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-63000-C,call,63000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-63000-P,put,63000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-64000-C,call,64000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-64000-P,put,64000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-64500-C,call,64500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1773018660000,delivered
BTC-12MAR26-64500-P,put,64500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1773018660000,delivered
BTC-12MAR26-65000-C,call,65000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-65000-P,put,65000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-65500-C,call,65500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-65500-P,put,65500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-66000-C,call,66000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-66000-P,put,66000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,70563.61,80.79,0.00013454,,,,5.6,395350.084,2026-03-12T00:00:00Z,1773273600000,trade_derived_latest_trade_in_lookback,1773262102122,2026-03-11T20:48:22Z,0.0001,sell,2.4,8,5.6,5.6,1772956812000,delivered
BTC-12MAR26-66500-C,call,66500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-66500-P,put,66500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,70528.79,73.16,0.00017217,,,,0.6,42341.053,2026-03-12T00:00:00Z,1773273600000,trade_derived_latest_trade_in_lookback,1773254530261,2026-03-11T18:42:10Z,0.0002,buy,0.1,6,0.6,0.6,1772956812000,delivered
BTC-12MAR26-67000-C,call,67000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-67000-P,put,67000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,70502.94,77.89,0.00011445,,,,5.0,352514.7,2026-03-12T00:00:00Z,1773273600000,trade_derived_latest_trade_in_lookback,1773269290344,2026-03-11T22:48:10Z,0.0002,buy,5.0,1,5.0,5.0,1772956812000,delivered
BTC-12MAR26-67500-C,call,67500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-67500-P,put,67500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-68000-C,call,68000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-68000-P,put,68000.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,70389.2,63.17,0.00023515,,,,73.1,5148436.504,2026-03-12T00:00:00Z,1773273600000,trade_derived_latest_trade_in_lookback,1773272236222,2026-03-11T23:37:16Z,0.0003,buy,0.3,27,73.1,73.1,1772956812000,delivered
BTC-12MAR26-68500-C,call,68500.0,1773302400000,2026-03-12T08:00:00Z,0.00091262,,,,,,,0.0,0.0,2026-03-12T00:00:00Z,1773273600000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
