instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,snapshot_source,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,trade_amount_btc,trades_in_lookback,contracts_traded_lookback,trade_amount_btc_lookback,creation_ts_ms,instrument_state
BTC-13MAR26-50000-P,put,50000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772217767000,open
BTC-13MAR26-55000-C,call,55000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771489980000,open
BTC-13MAR26-55000-P,put,55000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771489980000,open
BTC-13MAR26-58000-C,call,58000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771877580000,open
BTC-13MAR26-58000-P,put,58000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771877580000,open
BTC-13MAR26-60000-C,call,60000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771488020000,open
BTC-13MAR26-60000-P,put,60000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771488020000,open
BTC-13MAR26-61000-C,call,61000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771910221000,open
BTC-13MAR26-61000-P,put,61000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771910221000,open
BTC-13MAR26-62000-C,call,62000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771488020000,open
BTC-13MAR26-62000-P,put,62000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771488020000,open
BTC-13MAR26-63000-C,call,63000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771516320000,open
BTC-13MAR26-63000-P,put,63000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771516320000,open
BTC-13MAR26-64000-C,call,64000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1771488020000,open
