instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603152000-HI71250,BTC2603152000,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,178,0.72,0.6303232395869601,0.08967676041303985,71435.42,0.72,0.79,50.0,50.0,2026-03-15T19:02:26Z,2026-03-15T20:00:00Z,2026-03-15T20:01:12Z,1,128.16,49.84,-0.28,-49.84,0.02,3.56,-53.4,paper-GEMI-BTC2603152000-HI71250-1773601346,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152000-HI71000,BTC2603152000,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,416,0.88,0.7742643382324786,0.10573566176752136,71435.42,0.88,0.99,60.0,60.0,2026-03-15T19:03:00Z,2026-03-15T20:00:00Z,2026-03-15T20:01:39Z,1,366.08,49.92,-0.12,-49.92,0.02,8.32,-58.24,paper-GEMI-BTC2603152000-HI71000-1773601380,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152000-HI72000,BTC2603152000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,500,0.1,0.16043343677213442,0.06043343677213442,71504.28,0.01,0.1,43.0,265.0,2026-03-15T19:14:29Z,2026-03-15T20:00:00Z,2026-03-15T20:01:23Z,0,50.0,50.0,-0.1,-50.0,0.02,10.0,-60.0,paper-GEMI-BTC2603152000-HI72000-1773602069,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152200-HI71500,BTC2603152200,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,200,0.75,0.6837908614151638,0.06620913858483624,71700.0,0.75,0.88,50.0,17.0,2026-03-15T21:01:32Z,2026-03-15T22:00:00Z,2026-03-15T22:02:26Z,1,150.0,50.0,-0.25,-50.0,0.02,4.0,-54.0,paper-GEMI-BTC2603152200-HI71500-1773608492,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152200-HI72000,BTC2603152200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,217,0.23,0.26952244587937046,0.039522445879370455,71713.36,0.04,0.23,19.0,19.0,2026-03-15T21:02:00Z,2026-03-15T22:00:00Z,2026-03-15T22:01:27Z,1,49.91,49.91,0.77,167.09,0.02,4.34,162.75,paper-GEMI-BTC2603152200-HI72000-1773608520,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152200-HI71250,BTC2603152200,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,500,0.9,0.8401784767600419,0.05982152323995815,71713.36,0.9,0.99,60.0,60.0,2026-03-15T21:03:07Z,2026-03-15T22:00:00Z,2026-03-15T22:01:27Z,1,450.0,50.0,-0.1,-50.0,0.02,10.0,-60.0,paper-GEMI-BTC2603152200-HI71250-1773608587,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152200-HI71750,BTC2603152200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,113,0.44,0.488786416470236,0.048786416470236016,71731.94,0.38,0.44,108.0,58.0,2026-03-15T21:04:41Z,2026-03-15T22:00:00Z,2026-03-15T22:01:21Z,1,49.72,49.72,0.56,63.28,0.02,2.26,61.02,paper-GEMI-BTC2603152200-HI71750-1773608681,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603162100-HI72250,BTC2603162100,GRR-KAIKO_BTCUSD_1S,open,sell,yes,90,0.45,0.4100692506335505,0.039930749366449525,71743.8,0.45,0.46,10.0,370.0,2026-03-15T21:24:57Z,2026-03-16T21:00:00Z,,,40.5,49.5,,,0.02,1.8,,paper-GEMI-BTC2603162100-HI72250-1773609897,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152200-HI72250,BTC2603152200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,454,0.11,0.23150583351182788,0.12150583351182788,71932.9,0.01,0.11,20000.0,20.0,2026-03-15T21:33:34Z,2026-03-15T22:00:00Z,2026-03-15T22:02:32Z,0,49.94,49.94,-0.11,-49.94,0.02,9.08,-59.02,paper-GEMI-BTC2603152200-HI72250-1773610414,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152200-HI72500,BTC2603152200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,384,0.13,0.2131969818950948,0.08319698189509481,72164.94,0.04,0.13,5000.0,229.0,2026-03-15T21:37:57Z,2026-03-15T22:00:00Z,2026-03-15T22:02:20Z,0,49.92,49.92,-0.13,-49.92,0.02,7.68,-57.6,paper-GEMI-BTC2603152200-HI72500-1773610677,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
