instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603160600-HI74000,BTC2603160600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,138,0.36,0.4016167753811514,0.04161677538115144,73841.0,0.3,0.36,54.0,312.0,2026-03-16T05:08:15Z,2026-03-16T06:00:00Z,2026-03-16T06:08:54Z,1,49.68,49.68,0.64,88.32,0.02,2.76,85.56,paper-GEMI-BTC2603160600-HI74000-1773637695,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160600-HI73500,BTC2603160600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,63,0.79,0.8244289564614168,0.03442895646141675,73874.72,0.74,0.79,270.0,50.0,2026-03-16T05:09:40Z,2026-03-16T06:00:00Z,2026-03-16T06:08:24Z,1,49.77,49.77,0.21,13.23,0.02,1.26,11.97,paper-GEMI-BTC2603160600-HI73500-1773637780,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160600-HI73750,BTC2603160600,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,161,0.69,0.6458852952990916,0.04411470470090839,73978.9,0.69,0.75,337.0,48.0,2026-03-16T05:11:16Z,2026-03-16T06:00:00Z,2026-03-16T06:08:41Z,1,111.09,49.91,-0.31,-49.91,0.02,3.22,-53.13,paper-GEMI-BTC2603160600-HI73750-1773637876,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160700-HI74250,BTC2603160700,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,178,0.28,0.32707143956265444,0.047071439562654416,73997.15,0.21,0.28,60.0,60.0,2026-03-16T06:03:28Z,2026-03-16T07:00:00Z,2026-03-16T07:02:21Z,0,49.84,49.84,-0.28,-49.84,0.02,3.56,-53.4,paper-GEMI-BTC2603160700-HI74250-1773641008,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160700-HI74500,BTC2603160700,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,357,0.14,0.17711884522914553,0.03711884522914552,73997.15,0.06,0.14,3347.0,232.0,2026-03-16T06:03:28Z,2026-03-16T07:00:00Z,2026-03-16T07:02:09Z,0,49.98,49.98,-0.14,-49.98,0.02,7.14,-57.12,paper-GEMI-BTC2603160700-HI74500-1773641008,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160700-HI74000,BTC2603160700,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,125,0.4,0.4413661407576756,0.041366140757675585,73902.01,0.3,0.4,54.0,54.0,2026-03-16T06:07:24Z,2026-03-16T07:00:00Z,2026-03-16T07:02:15Z,0,50.0,50.0,-0.4,-50.0,0.02,2.5,-52.5,paper-GEMI-BTC2603160700-HI74000-1773641244,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160700-HI73500,BTC2603160700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,208,0.76,0.7044927470902382,0.05550725290976177,73823.0,0.76,0.99,54.0,54.0,2026-03-16T06:07:43Z,2026-03-16T07:00:00Z,2026-03-16T07:02:09Z,1,158.08,49.92,-0.24,-49.92,0.02,4.16,-54.08,paper-GEMI-BTC2603160700-HI73500-1773641263,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160700-HI73750,BTC2603160700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,111,0.55,0.5102034205622384,0.0397965794377616,73763.84,0.55,0.57,17.0,465.0,2026-03-16T06:09:36Z,2026-03-16T07:00:00Z,2026-03-16T07:02:27Z,0,61.05,49.95,0.55,61.05,0.02,2.22,58.83,paper-GEMI-BTC2603160700-HI73750-1773641376,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160700-HI73250,BTC2603160700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,333,0.85,0.8083205298648604,0.04167947013513962,73745.76,0.85,0.97,49.0,49.0,2026-03-16T06:10:07Z,2026-03-16T07:00:00Z,2026-03-16T07:02:09Z,1,283.05,49.95,-0.15,-49.95,0.02,6.66,-56.61,paper-GEMI-BTC2603160700-HI73250-1773641407,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160800-HI73500,BTC2603160800,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,312,0.84,0.7386640457507215,0.10133595424927844,73860.34,0.84,0.96,72.0,60.0,2026-03-16T07:03:47Z,2026-03-16T08:00:00Z,2026-03-16T08:04:55Z,0,262.08,49.92,0.84,262.08,0.02,6.24,255.84,paper-GEMI-BTC2603160800-HI73500-1773644627,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160800-HI73750,BTC2603160800,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,138,0.64,0.5759988678672732,0.06400113213272685,73860.34,0.64,0.69,60.0,60.0,2026-03-16T07:03:47Z,2026-03-16T08:00:00Z,2026-03-16T08:05:43Z,0,88.32,49.68,0.64,88.32,0.02,2.76,85.56,paper-GEMI-BTC2603160800-HI73750-1773644627,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160800-HI74000,BTC2603160800,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,135,0.37,0.4048529358586071,0.034852935858607104,73860.34,0.31,0.37,705.0,110.0,2026-03-16T07:03:47Z,2026-03-16T08:00:00Z,2026-03-16T08:05:20Z,0,49.95,49.95,-0.37,-49.95,0.02,2.7,-52.65,paper-GEMI-BTC2603160800-HI74000-1773644627,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160800-HI74250,BTC2603160800,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,277,0.18,0.24531648098083048,0.06531648098083048,73860.34,0.07,0.18,60.0,60.0,2026-03-16T07:03:47Z,2026-03-16T08:00:00Z,2026-03-16T08:05:25Z,0,49.86,49.86,-0.18,-49.86,0.02,5.54,-55.4,paper-GEMI-BTC2603160800-HI74250-1773644627,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160800-HI73250,BTC2603160800,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,833,0.94,0.8218425232376106,0.1181574767623893,73716.6,0.94,0.99,36.0,36.0,2026-03-16T07:19:38Z,2026-03-16T08:00:00Z,2026-03-16T08:04:49Z,1,783.02,49.98,-0.06,-49.98,0.02,16.66,-66.64,paper-GEMI-BTC2603160800-HI73250-1773645578,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI73250,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,384,0.87,0.7893578565412486,0.08064214345875143,73695.46,0.87,0.99,60.0,60.0,2026-03-16T08:03:53Z,2026-03-16T09:00:00Z,2026-03-16T09:04:16Z,0,334.08,49.92,0.87,334.08,0.02,7.68,326.4,paper-GEMI-BTC2603160900-HI73250-1773648233,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI73500,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,178,0.72,0.6336726099548863,0.0863273900451137,73695.46,0.72,0.8,60.0,71.0,2026-03-16T08:03:53Z,2026-03-16T09:00:00Z,2026-03-16T09:02:06Z,0,128.16,49.84,0.72,128.16,0.02,3.56,124.6,paper-GEMI-BTC2603160900-HI73500-1773648233,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI74000,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,250,0.2,0.29666152899844317,0.09666152899844316,73695.46,0.09,0.2,60.0,60.0,2026-03-16T08:03:53Z,2026-03-16T09:00:00Z,2026-03-16T09:03:41Z,0,50.0,50.0,-0.2,-50.0,0.02,5.0,-55.0,paper-GEMI-BTC2603160900-HI74000-1773648233,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI73750,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,119,0.42,0.4541351500084123,0.03413515000841233,73696.13,0.36,0.42,604.0,49.0,2026-03-16T08:11:11Z,2026-03-16T09:00:00Z,2026-03-16T09:03:27Z,0,49.98,49.98,-0.42,-49.98,0.02,2.38,-52.36,paper-GEMI-BTC2603160900-HI73750-1773648671,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI74250,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,454,0.11,0.15204022632904338,0.042040226329043376,73744.11,0.01,0.11,48.0,48.0,2026-03-16T08:11:43Z,2026-03-16T09:00:00Z,2026-03-16T09:03:59Z,0,49.94,49.94,-0.11,-49.94,0.02,9.08,-59.02,paper-GEMI-BTC2603160900-HI74250-1773648703,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI73000,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,454,0.89,0.7874130449284106,0.10258695507158944,73423.71,0.89,0.97,42.0,42.0,2026-03-16T08:15:22Z,2026-03-16T09:00:00Z,2026-03-16T09:03:59Z,1,404.06,49.94,-0.11,-49.94,0.02,9.08,-59.02,paper-GEMI-BTC2603160900-HI73000-1773648922,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160900-HI72750,BTC2603160900,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,277,0.82,0.6424219997612605,0.1775780002387395,72951.06,0.82,0.94,50.0,14.0,2026-03-16T08:45:01Z,2026-03-16T09:00:00Z,2026-03-16T09:02:32Z,1,227.14,49.86,-0.18,-49.86,0.02,5.54,-55.4,paper-GEMI-BTC2603160900-HI72750-1773650701,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161000-HI72750,BTC2603161000,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,263,0.81,0.7682468290528889,0.04175317094711117,73149.12,0.81,0.94,13.0,13.0,2026-03-16T09:02:44Z,2026-03-16T10:00:00Z,2026-03-16T10:03:46Z,1,213.03,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603161000-HI72750-1773651764,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161000-HI73250,BTC2603161000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,135,0.37,0.4289087600574494,0.05890876005744938,73149.12,0.32,0.37,58.0,58.0,2026-03-16T09:04:11Z,2026-03-16T10:00:00Z,2026-03-16T10:03:03Z,1,49.95,49.95,0.63,85.05,0.02,2.7,82.35,paper-GEMI-BTC2603161000-HI73250-1773651851,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161000-HI73500,BTC2603161000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,263,0.19,0.26168231017624394,0.07168231017624394,73149.12,0.07,0.19,75.0,60.0,2026-03-16T09:04:11Z,2026-03-16T10:00:00Z,2026-03-16T10:03:15Z,0,49.97,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603161000-HI73500-1773651851,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161000-HI73000,BTC2603161000,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,128,0.61,0.5585178207642247,0.05148217923577525,73085.79,0.61,0.73,51.0,51.0,2026-03-16T09:09:20Z,2026-03-16T10:00:00Z,2026-03-16T10:04:16Z,1,78.08,49.92,-0.39,-49.92,0.02,2.56,-52.48,paper-GEMI-BTC2603161000-HI73000-1773652160,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161000-HI73750,BTC2603161000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,833,0.06,0.17376098672391463,0.11376098672391463,73257.2,0.01,0.06,24.0,212.0,2026-03-16T09:27:29Z,2026-03-16T10:00:00Z,2026-03-16T10:03:03Z,0,49.98,49.98,-0.06,-49.98,0.02,16.66,-66.64,paper-GEMI-BTC2603161000-HI73750-1773653249,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161100-HI73000,BTC2603161100,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,277,0.82,0.7558390450647808,0.06416095493521912,73372.18,0.82,0.99,19.0,19.0,2026-03-16T10:01:59Z,2026-03-16T11:00:00Z,2026-03-16T11:02:28Z,1,227.14,49.86,-0.18,-49.86,0.02,5.54,-55.4,paper-GEMI-BTC2603161100-HI73000-1773655319,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161100-HI73500,BTC2603161100,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,138,0.36,0.4141379949553414,0.05413799495534144,73372.18,0.25,0.36,13.0,13.0,2026-03-16T10:02:56Z,2026-03-16T11:00:00Z,2026-03-16T11:02:02Z,1,49.68,49.68,0.64,88.32,0.02,2.76,85.56,paper-GEMI-BTC2603161100-HI73500-1773655376,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161100-HI73750,BTC2603161100,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,294,0.17,0.2556649330102548,0.08566493301025477,73372.18,0.01,0.17,36.0,11.0,2026-03-16T10:02:56Z,2026-03-16T11:00:00Z,2026-03-16T11:02:40Z,1,49.98,49.98,0.83,244.02,0.02,5.88,238.14,paper-GEMI-BTC2603161100-HI73750-1773655376,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161100-HI73250,BTC2603161100,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,138,0.64,0.5709092510374861,0.06909074896251388,73359.68,0.64,0.73,60.0,60.0,2026-03-16T10:03:21Z,2026-03-16T11:00:00Z,2026-03-16T11:02:46Z,1,88.32,49.68,-0.36,-49.68,0.02,2.76,-52.44,paper-GEMI-BTC2603161100-HI73250-1773655401,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161200-HI73500,BTC2603161200,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,208,0.76,0.7190192970843414,0.040980702915658584,73740.5,0.76,0.84,57.0,57.0,2026-03-16T11:05:51Z,2026-03-16T12:00:00Z,2026-03-16T12:02:46Z,1,158.08,49.92,-0.24,-49.92,0.02,4.16,-54.08,paper-GEMI-BTC2603161200-HI73500-1773659151,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161200-HI74000,BTC2603161200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,217,0.23,0.2680522620216257,0.03805226202162568,73740.5,0.15,0.23,57.0,57.0,2026-03-16T11:05:51Z,2026-03-16T12:00:00Z,2026-03-16T12:05:15Z,0,49.91,49.91,-0.23,-49.91,0.02,4.34,-54.25,paper-GEMI-BTC2603161200-HI74000-1773659151,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161200-HI73250,BTC2603161200,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,555,0.91,0.8428620890832025,0.06713791091679755,73740.5,0.91,0.99,57.0,20057.0,2026-03-16T11:06:03Z,2026-03-16T12:00:00Z,2026-03-16T12:02:34Z,1,505.05,49.95,-0.09,-49.95,0.02,11.1,-61.05,paper-GEMI-BTC2603161200-HI73250-1773659163,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161200-HI74250,BTC2603161200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,625,0.08,0.1781995013179656,0.0981995013179656,73728.0,0.02,0.08,10000.0,217.0,2026-03-16T11:06:45Z,2026-03-16T12:00:00Z,2026-03-16T12:02:52Z,0,50.0,50.0,-0.08,-50.0,0.02,12.5,-62.5,paper-GEMI-BTC2603161200-HI74250-1773659205,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161200-HI73750,BTC2603161200,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,121,0.41,0.4511594048163811,0.04115940481638114,73681.0,0.37,0.41,45.0,338.0,2026-03-16T11:13:46Z,2026-03-16T12:00:00Z,2026-03-16T12:03:16Z,0,49.61,49.61,-0.41,-49.61,0.02,2.42,-52.03,paper-GEMI-BTC2603161200-HI73750-1773659626,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161300-HI73250,BTC2603161300,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,294,0.83,0.739033297192476,0.09096670280752395,73635.56,0.83,0.94,60.0,60.0,2026-03-16T12:03:09Z,2026-03-16T13:00:00Z,2026-03-16T13:02:34Z,1,244.02,49.98,-0.17,-49.98,0.02,5.88,-55.86,paper-GEMI-BTC2603161300-HI73250-1773662589,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161300-HI73750,BTC2603161300,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,128,0.39,0.42688855250203706,0.03688855250203704,73635.56,0.27,0.39,60.0,60.0,2026-03-16T12:03:09Z,2026-03-16T13:00:00Z,2026-03-16T13:02:22Z,1,49.92,49.92,0.61,78.08,0.02,2.56,75.52,paper-GEMI-BTC2603161300-HI73750-1773662589,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161300-HI74000,BTC2603161300,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,238,0.21,0.2744522606935228,0.0644522606935228,73635.56,0.08,0.21,60.0,30.0,2026-03-16T12:03:09Z,2026-03-16T13:00:00Z,2026-03-16T13:02:40Z,0,49.98,49.98,-0.21,-49.98,0.02,4.76,-54.74,paper-GEMI-BTC2603161300-HI74000-1773662589,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161300-HI73500,BTC2603161300,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,166,0.7,0.6616498083484849,0.0383501916515151,73721.14,0.7,0.75,58.0,58.0,2026-03-16T12:04:10Z,2026-03-16T13:00:00Z,2026-03-16T13:02:47Z,1,116.2,49.8,-0.3,-49.8,0.02,3.32,-53.12,paper-GEMI-BTC2603161300-HI73500-1773662650,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161300-HI74250,BTC2603161300,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,192,0.26,0.3043193701885298,0.04431937018852977,73998.75,0.15,0.26,36.0,20.0,2026-03-16T12:32:51Z,2026-03-16T13:00:00Z,2026-03-16T13:02:10Z,0,49.92,49.92,-0.26,-49.92,0.02,3.84,-53.76,paper-GEMI-BTC2603161300-HI74250-1773664371,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI73500,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,227,0.78,0.7466283120865462,0.033371687913453796,73892.54,0.78,0.85,256.0,58.0,2026-03-16T13:04:51Z,2026-03-16T14:00:00Z,2026-03-16T14:02:30Z,1,177.06,49.94,-0.22,-49.94,0.02,4.54,-54.48,paper-GEMI-BTC2603161400-HI73500-1773666291,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI73750,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,138,0.64,0.5903404290413319,0.04965957095866813,73892.54,0.64,0.71,312.0,71.0,2026-03-16T13:05:04Z,2026-03-16T14:00:00Z,2026-03-16T14:02:13Z,1,88.32,49.68,-0.36,-49.68,0.02,2.76,-52.44,paper-GEMI-BTC2603161400-HI73750-1773666304,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI74000,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,116,0.43,0.49991775918549025,0.06991775918549026,73998.32,0.36,0.43,50.0,50.0,2026-03-16T13:08:22Z,2026-03-16T14:00:00Z,2026-03-16T14:03:43Z,1,49.88,49.88,0.57,66.12,0.02,2.32,63.8,paper-GEMI-BTC2603161400-HI74000-1773666502,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI74250,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,192,0.26,0.32084699041414816,0.06084699041414815,73998.32,0.17,0.26,10.0,50.0,2026-03-16T13:08:28Z,2026-03-16T14:00:00Z,2026-03-16T14:03:36Z,0,49.92,49.92,-0.26,-49.92,0.02,3.84,-53.76,paper-GEMI-BTC2603161400-HI74250-1773666508,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI74500,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,333,0.15,0.1838028295212954,0.0338028295212954,73974.06,0.07,0.15,15.0,235.0,2026-03-16T13:13:49Z,2026-03-16T14:00:00Z,2026-03-16T14:03:49Z,0,49.95,49.95,-0.15,-49.95,0.02,6.66,-56.61,paper-GEMI-BTC2603161400-HI74500-1773666829,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI73250,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,454,0.89,0.8359539381496707,0.05404606185032934,73822.75,0.89,0.97,224.0,12.0,2026-03-16T13:19:44Z,2026-03-16T14:00:00Z,2026-03-16T14:02:22Z,1,404.06,49.94,-0.11,-49.94,0.02,9.08,-59.02,paper-GEMI-BTC2603161400-HI73250-1773667184,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161400-HI74750,BTC2603161400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,263,0.19,0.22982680709401737,0.03982680709401737,74405.0,0.09,0.19,20.0,50.0,2026-03-16T13:41:32Z,2026-03-16T14:00:00Z,2026-03-16T14:04:24Z,0,49.97,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603161400-HI74750-1773668492,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI73750,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,217,0.77,0.7366767035325812,0.03332329646741883,74180.31,0.77,0.86,57.0,77.0,2026-03-16T14:05:49Z,2026-03-16T15:00:00Z,2026-03-16T15:03:15Z,0,167.09,49.91,0.77,167.09,0.02,4.34,162.75,paper-GEMI-BTC2603161500-HI73750-1773669949,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI74000,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,151,0.67,0.6335203770875693,0.03647962291243079,74190.62,0.67,0.74,353.0,55.0,2026-03-16T14:06:42Z,2026-03-16T15:00:00Z,2026-03-16T15:03:22Z,0,101.17,49.83,0.67,101.17,0.02,3.02,98.15,paper-GEMI-BTC2603161500-HI74000-1773670002,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI74250,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,75,0.66,0.6929110597890937,0.0329110597890937,74454.38,0.61,0.66,327.0,51.0,2026-03-16T14:09:08Z,2026-03-16T15:00:00Z,2026-03-16T15:02:52Z,0,49.5,49.5,-0.66,-49.5,0.02,1.5,-51.0,paper-GEMI-BTC2603161500-HI74250-1773670148,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI74750,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,208,0.24,0.27473183787748057,0.034731837877480576,74370.23,0.15,0.24,70.0,49.0,2026-03-16T14:10:36Z,2026-03-16T15:00:00Z,2026-03-16T15:03:36Z,0,49.92,49.92,-0.24,-49.92,0.02,4.16,-54.08,paper-GEMI-BTC2603161500-HI74750-1773670236,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI74500,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,116,0.43,0.4600649805571743,0.030064980557174326,74446.77,0.39,0.43,48.0,398.0,2026-03-16T14:11:58Z,2026-03-16T15:00:00Z,2026-03-16T15:03:15Z,0,49.88,49.88,-0.43,-49.88,0.02,2.32,-52.2,paper-GEMI-BTC2603161500-HI74500-1773670318,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI73500,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,454,0.89,0.8496120313229913,0.04038796867700867,74000.0,0.89,0.97,224.0,22.0,2026-03-16T14:28:24Z,2026-03-16T15:00:00Z,2026-03-16T15:03:15Z,1,404.06,49.94,-0.11,-49.94,0.02,9.08,-59.02,paper-GEMI-BTC2603161500-HI73500-1773671304,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603202100-HI73250,BTC2603202100,GRR-KAIKO_BTCUSD_1S,open,sell,yes,125,0.6,0.5691683776173752,0.030831622382624824,73826.76,0.6,0.61,50.0,512.0,2026-03-16T14:29:25Z,2026-03-20T21:00:00Z,,,75.0,50.0,,,0.02,2.5,,paper-GEMI-BTC2603202100-HI73250-1773671365,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI73250,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,416,0.88,0.8334915644173243,0.0465084355826757,73689.39,0.88,0.9,17.0,21.0,2026-03-16T14:29:53Z,2026-03-16T15:00:00Z,2026-03-16T15:03:15Z,1,366.08,49.92,-0.12,-49.92,0.02,8.32,-58.24,paper-GEMI-BTC2603161500-HI73250-1773671393,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI73000,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,333,0.85,0.7995915371486035,0.05040846285139644,73449.57,0.85,0.93,235.0,20.0,2026-03-16T14:35:53Z,2026-03-16T15:00:00Z,2026-03-16T15:03:00Z,1,283.05,49.95,-0.15,-49.95,0.02,6.66,-56.61,paper-GEMI-BTC2603161500-HI73000-1773671753,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161500-HI72750,BTC2603161500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,384,0.87,0.8343791527724206,0.03562084722757941,73211.43,0.87,0.96,229.0,20.0,2026-03-16T14:39:22Z,2026-03-16T15:00:00Z,2026-03-16T15:02:52Z,1,334.08,49.92,-0.13,-49.92,0.02,7.68,-57.6,paper-GEMI-BTC2603161500-HI72750-1773671962,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161600-HI73750,BTC2603161600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,151,0.33,0.3621402900944299,0.03214029009442987,73533.26,0.27,0.33,58.0,108.0,2026-03-16T15:04:09Z,2026-03-16T16:00:00Z,2026-03-16T16:02:43Z,0,49.83,49.83,-0.33,-49.83,0.02,3.02,-52.85,paper-GEMI-BTC2603161600-HI73750-1773673449,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
