instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603142000-HI70750,BTC2603142000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,741,0.26,0.4502680261554215,0.1902680261554215,70694.85,0.13,0.26,20.0,20.0,2026-03-14T19:32:51Z,2026-03-14T20:00:00Z,2026-03-15T13:50:39Z,0,192.66,192.66,-0.26,-192.66,0.02,14.82,-207.48,paper-GEMI-BTC2603142000-HI70750-1773516771,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603142100-HI70750,BTC2603142100,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,160,0.39,0.44442562251815265,0.05442562251815264,70672.44,0.32,0.39,625.0,327.0,2026-03-14T19:35:17Z,2026-03-14T21:00:00Z,2026-03-15T13:50:39Z,1,62.4,62.4,0.61,97.6,0.02,3.2,94.4,paper-GEMI-BTC2603142100-HI70750-1773516917,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151400-HI71500,BTC2603151400,GRR-KAIKO_BTCUSD_1S,open,buy,yes,149,0.43,0.47880939988967497,0.048809399889674976,71481.39,0.33,0.43,606.0,15.0,2026-03-15T13:50:44Z,2026-03-15T14:00:00Z,,,64.07,64.07,,,0.02,2.98,,paper-GEMI-BTC2603151400-HI71500-1773582644,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
