instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-12APR26-63000-C,call,63000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,88.17,0.12198618,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-63000-P,put,63000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,88.17,0.0,,0.0001,,19.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-64000-C,call,64000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,86.53,0.10804945,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-64000-P,put,64000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,86.53,0.0,,0.0001,,161.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-65000-C,call,65000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,81.64,0.09411272,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-65000-P,put,65000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,81.64,0.0,,0.0001,,104.3,0.0,2026-04-12T07:40:33Z
BTC-12APR26-66000-C,call,66000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,80.27,0.080176,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-66000-P,put,66000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,80.27,0.0,,0.0001,,87.0,148.48,2026-04-12T07:40:33Z
BTC-12APR26-67000-C,call,67000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,80.21,0.06623927,0.027,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-67000-P,put,67000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,80.21,0.0,,0.0002,,147.5,211.13,2026-04-12T07:40:33Z
BTC-12APR26-68000-C,call,68000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,80.13,0.05230254,0.0002,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-68000-P,put,68000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,80.13,0.0,,0.0001,,138.0,227.95,2026-04-12T07:40:33Z
BTC-12APR26-68500-C,call,68500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,76.37,0.04533418,0.0215,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-68500-P,put,68500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,76.37,0.0,,,,49.0,485.58,2026-04-12T07:40:33Z
BTC-12APR26-69000-C,call,69000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,69.8,0.03836581,0.0015,,,0.2,896.79,2026-04-12T07:40:33Z
BTC-12APR26-69000-P,put,69000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,69.8,0.0,,,,42.8,254.26,2026-04-12T07:40:33Z
BTC-12APR26-69500-C,call,69500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,65.87,0.03139745,0.0004,,,0.2,0.0,2026-04-12T07:40:33Z
BTC-12APR26-69500-P,put,69500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,65.87,0.0,,0.0031,,45.0,128.07,2026-04-12T07:40:33Z
BTC-12APR26-70000-C,call,70000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,54.92,0.02442909,0.0015,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-70000-P,put,70000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,54.92,0.0,,0.0007,,133.7,892.14,2026-04-12T07:40:33Z
BTC-12APR26-70500-C,call,70500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,45.38,0.01746072,0.0004,0.05,0.0252,3.4,4418.27,2026-04-12T07:40:33Z
BTC-12APR26-70500-P,put,70500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,45.38,0.0,,,,97.7,2417.21,2026-04-12T07:40:33Z
BTC-12APR26-71000-C,call,71000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,36.59,0.01049236,0.001,,,8.0,2020.73,2026-04-12T07:40:33Z
BTC-12APR26-71000-P,put,71000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,36.59,0.0,,0.0001,,118.1,3804.12,2026-04-12T07:40:33Z
BTC-12APR26-71500-C,call,71500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,28.78,0.00353952,0.0026,0.003,0.0028,25.9,1474.62,2026-04-12T07:40:33Z
BTC-12APR26-71500-P,put,71500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,28.78,1.553e-05,,0.0001,,140.9,15469.91,2026-04-12T07:40:33Z
BTC-12APR26-72000-C,call,72000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,34.46,4.75e-05,,0.0001,,169.1,3947.58,2026-04-12T07:40:33Z
BTC-12APR26-72000-P,put,72000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,34.46,0.00349187,0.003,0.0044,0.0037,252.4,18294.88,2026-04-12T07:40:33Z
BTC-12APR26-72500-C,call,72500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,45.18,7e-08,,0.0001,,88.7,18278.68,2026-04-12T07:40:33Z
BTC-12APR26-72500-P,put,72500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,45.18,0.0104128,0.0085,0.013,0.01075,136.3,19805.57,2026-04-12T07:40:33Z
BTC-12APR26-73000-C,call,73000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,50.09,0.0,,,,222.7,27628.39,2026-04-12T07:40:33Z
BTC-12APR26-73000-P,put,73000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,50.09,0.0173811,0.0155,0.02,0.01775,134.6,54347.63,2026-04-12T07:40:33Z
BTC-12APR26-73500-C,call,73500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,50.7,0.0,,0.006,,142.7,4344.51,2026-04-12T07:40:33Z
BTC-12APR26-73500-P,put,73500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,50.7,0.02434946,0.003,,,16.6,4841.29,2026-04-12T07:40:33Z
BTC-12APR26-74000-C,call,74000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,51.49,0.0,,0.0007,,147.5,9066.57,2026-04-12T07:40:33Z
BTC-12APR26-74000-P,put,74000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,51.49,0.03131782,0.0055,,,4.8,4744.57,2026-04-12T07:40:33Z
BTC-12APR26-74500-C,call,74500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,51.49,0.0,,0.0001,,79.2,2908.8,2026-04-12T07:40:33Z
BTC-12APR26-74500-P,put,74500.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,51.49,0.03828619,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-75000-C,call,75000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,51.52,0.0,,0.0001,,189.3,1485.66,2026-04-12T07:40:33Z
BTC-12APR26-75000-P,put,75000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,51.52,0.04525455,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-76000-C,call,76000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.29,0.0,,0.0001,,90.7,250.46,2026-04-12T07:40:33Z
BTC-12APR26-76000-P,put,76000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.29,0.05919128,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-77000-C,call,77000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.52,0.0,,0.0001,,97.3,7.29,2026-04-12T07:40:33Z
BTC-12APR26-77000-P,put,77000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.52,0.073128,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-78000-C,call,78000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.52,0.0,,0.0001,,9.5,7.37,2026-04-12T07:40:33Z
BTC-12APR26-78000-P,put,78000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.52,0.08706473,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-79000-C,call,79000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.65,0.0,,0.0001,,0.3,0.0,2026-04-12T07:40:33Z
BTC-12APR26-79000-P,put,79000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,53.65,0.10100146,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-80000-C,call,80000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,55.31,0.0,,0.0001,,9.1,0.0,2026-04-12T07:40:33Z
BTC-12APR26-80000-P,put,80000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,55.31,0.11493819,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-81000-C,call,81000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,58.76,0.0,,0.0001,,0.0,0.0,2026-04-12T07:40:33Z
BTC-12APR26-81000-P,put,81000.0,1775980800000,2026-04-12T08:00:00Z,3.697e-05,71733.58,58.76,0.12887491,0.0001,,,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-63000-C,call,63000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,102.61,0.12198537,0.109,0.1295,0.11925,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-63000-P,put,63000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,102.61,0.00013671,0.0001,0.0002,0.00015,48.0,310.62,2026-04-12T07:40:33Z
BTC-13APR26-64000-C,call,64000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,91.47,0.10804587,0.078,0.126,0.102,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-64000-P,put,64000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,91.47,0.00013612,0.0001,0.0002,0.00015,12.5,16.05,2026-04-12T07:40:33Z
BTC-13APR26-65000-C,call,65000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,88.23,0.09424,0.083,0.1295,0.10625,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-65000-P,put,65000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71753.32,88.23,0.00026927,0.0002,0.0004,0.0003,58.0,107.57,2026-04-12T07:40:33Z
BTC-13APR26-66000-C,call,66000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71753.32,79.79,0.08038183,0.072,0.1,0.086,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-66000-P,put,66000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,79.79,0.00035785,0.0003,0.0005,0.0004,101.5,2676.46,2026-04-12T07:40:33Z
BTC-13APR26-67000-C,call,67000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71753.32,70.66,0.06655377,0.0585,0.072,0.06525,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-67000-P,put,67000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,70.66,0.00046872,0.0004,0.0006,0.0005,45.6,978.44,2026-04-12T07:40:33Z
BTC-13APR26-68000-C,call,68000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,61.77,0.05281567,0.0455,0.0585,0.052,0.0,0.0,2026-04-12T07:40:33Z
BTC-13APR26-68000-P,put,68000.0,1776067200000,2026-04-13T08:00:00Z,0.00277482,71754.31,61.77,0.00066156,0.0006,0.0008,0.0007,51.5,260.53,2026-04-12T07:40:33Z
