instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-5MAR26-58000-C,call,58000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,146.54,0.20465612,0.1795,0.2075,0.1935,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-58000-P,put,58000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,146.54,0.0,,0.0001,,99.7,112.55,2026-03-05T00:49:08Z
BTC-5MAR26-59000-C,call,59000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,146.54,0.1909433,0.1655,0.1935,0.1795,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-59000-P,put,59000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,146.54,0.0,,0.0001,,87.0,546.07,2026-03-05T00:49:08Z
BTC-5MAR26-60000-C,call,60000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,146.52,0.17723048,0.155,0.18,0.1675,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-60000-P,put,60000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,146.52,1e-08,,0.0001,,199.9,1072.46,2026-03-05T00:49:08Z
BTC-5MAR26-61000-C,call,61000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,137.82,0.16351767,0.1375,0.1665,0.152,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-61000-P,put,61000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,137.82,2e-08,,0.0001,,154.9,1337.45,2026-03-05T00:49:08Z
BTC-5MAR26-62000-C,call,62000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,135.47,0.14980493,0.123,0.153,0.138,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-62000-P,put,62000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,135.47,1.1e-07,,0.0001,,81.6,462.87,2026-03-05T00:49:08Z
BTC-5MAR26-63000-C,call,63000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,134.11,0.13609258,0.109,0.139,0.124,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-63000-P,put,63000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,134.11,5.8e-07,,0.0001,,95.7,472.5,2026-03-05T00:49:08Z
BTC-5MAR26-63500-C,call,63500.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,129.07,0.12923632,0.101,0.1325,0.11675,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-63500-P,put,63500.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,129.07,7.4e-07,,0.0001,,61.4,575.93,2026-03-05T00:49:08Z
BTC-5MAR26-64000-C,call,64000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,127.22,0.1223806,0.1205,0.1255,0.123,0.0,0.0,2026-03-05T00:49:08Z
BTC-5MAR26-64000-P,put,64000.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,127.22,1.43e-06,,0.0001,,93.0,1523.4,2026-03-05T00:49:08Z
BTC-5MAR26-64500-C,call,64500.0,1772697600000,2026-03-05T08:00:00Z,0.00081919,72914.32887354709,125.69,0.11552557,0.087,0.1185,0.10275,5.1,0.0,2026-03-05T00:49:08Z
