instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-8MAR26-61000-C,call,61000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,115.13,0.08859657,0.064,0.125,0.0945,0.0,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-61000-P,put,61000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,115.13,2.59e-06,,0.0001,,321.9,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-62000-C,call,62000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,115.12,0.07367469,0.0495,0.097,0.07325,0.0,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-62000-P,put,62000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,115.12,2.179e-05,,0.0001,,49.0,43.13,2026-03-08T02:59:12Z
BTC-8MAR26-63000-C,call,63000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,109.35,0.05880153,0.0335,0.083,0.05825,0.0,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-63000-P,put,63000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,109.35,8.972e-05,0.0001,0.0002,0.00015,60.5,243.45,2026-03-08T02:59:12Z
BTC-8MAR26-64000-C,call,64000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,96.57,0.04399774,0.0255,0.0695,0.0475,0.3,1085.91,2026-03-08T02:59:12Z
BTC-8MAR26-64000-P,put,64000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,96.57,0.00022701,0.0002,0.0003,0.00025,91.7,680.7,2026-03-08T02:59:12Z
BTC-8MAR26-65000-C,call,65000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,78.12,0.02929466,0.0047,0.068,0.03635,0.4,1746.99,2026-03-08T02:59:12Z
BTC-8MAR26-65000-P,put,65000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66927.42611770492,78.12,0.000465,0.0004,0.0005,0.00045,207.0,5680.47,2026-03-08T02:59:12Z
BTC-8MAR26-66000-C,call,66000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.55589613631,57.52,0.01499298,0.0115,0.019,0.01525,4.0,4682.53,2026-03-08T02:59:12Z
BTC-8MAR26-66000-P,put,66000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66927.42611770492,57.52,0.0011044,0.0009,0.0013,0.0011,168.4,6529.02,2026-03-08T02:59:12Z
BTC-8MAR26-66500-C,call,66500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,49.98,0.00863852,0.0075,0.0095,0.0085,2.2,2865.81,2026-03-08T02:59:12Z
BTC-8MAR26-66500-P,put,66500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,49.98,0.00222049,0.002,0.0025,0.00225,56.3,6763.74,2026-03-08T02:59:12Z
BTC-8MAR26-67000-C,call,67000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66927.42611770492,45.43,0.00383337,0.0035,0.0042,0.00385,15.1,5394.06,2026-03-08T02:59:12Z
BTC-8MAR26-67000-P,put,67000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,45.43,0.00488588,0.0045,0.0055,0.005,344.0,5929.51,2026-03-08T02:59:12Z
BTC-8MAR26-67500-C,call,67500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,44.67,0.00130447,0.0012,0.0016,0.0014,100.3,35833.45,2026-03-08T02:59:12Z
BTC-8MAR26-67500-P,put,67500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,44.67,0.00982752,0.0065,0.012,0.00925,136.4,21236.25,2026-03-08T02:59:12Z
BTC-8MAR26-68000-C,call,68000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,46.81,0.0003994,0.0004,0.0005,0.00045,192.6,24785.74,2026-03-08T02:59:12Z
BTC-8MAR26-68000-P,put,68000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66929.60219370737,46.81,0.016393,0.014,0.0185,0.01625,295.0,55130.38,2026-03-08T02:59:12Z
BTC-8MAR26-68500-C,call,68500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,46.69,7.814e-05,,0.0002,,212.8,9880.46,2026-03-08T02:59:12Z
BTC-8MAR26-68500-P,put,68500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,46.69,0.02354228,0.0205,0.026,0.02325,126.6,3025.82,2026-03-08T02:59:12Z
BTC-8MAR26-69000-C,call,69000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,47.34,1.263e-05,,0.0001,,118.5,4137.67,2026-03-08T02:59:12Z
BTC-8MAR26-69000-P,put,69000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,47.34,0.03094731,0.028,0.033,0.0305,69.6,1621.13,2026-03-08T02:59:12Z
BTC-8MAR26-69500-C,call,69500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,53.59,6.2e-06,,0.0001,,187.9,4405.48,2026-03-08T02:59:12Z
BTC-8MAR26-69500-P,put,69500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,53.59,0.03841142,0.0355,0.0405,0.038,101.5,169.68,2026-03-08T02:59:12Z
BTC-8MAR26-70000-C,call,70000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,63.74,7.35e-06,,0.0001,,287.1,3131.7,2026-03-08T02:59:12Z
BTC-8MAR26-70000-P,put,70000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,63.74,0.0458831,0.0435,0.048,0.04575,74.4,5104.88,2026-03-08T02:59:12Z
BTC-8MAR26-70500-C,call,70500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,68.92,3.76e-06,,0.0001,,135.8,430.72,2026-03-08T02:59:12Z
BTC-8MAR26-70500-P,put,70500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,68.92,0.05335006,0.051,0.055,0.053,121.6,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-71000-C,call,71000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,75.41,2.63e-06,,0.0001,,193.3,915.49,2026-03-08T02:59:12Z
BTC-8MAR26-71000-P,put,71000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66925.82044218361,75.41,0.06081947,0.0555,0.0635,0.0595,16.8,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-71500-C,call,71500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,76.97,7.9e-07,,0.0001,,47.7,604.6,2026-03-08T02:59:12Z
BTC-8MAR26-71500-P,put,71500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66925.82044218361,76.97,0.06828817,0.063,0.1115,0.08725,21.4,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-72000-C,call,72000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,76.97,1.6e-07,,0.0001,,179.0,420.1,2026-03-08T02:59:12Z
BTC-8MAR26-72000-P,put,72000.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66925.80671146601,76.97,0.07575808,0.058,0.11,0.084,19.2,0.0,2026-03-08T02:59:12Z
BTC-8MAR26-72500-C,call,72500.0,1772956800000,2026-03-08T08:00:00Z,0.00057188,66926.54701303088,76.97,3e-08,,0.0001,,93.4,100.61,2026-03-08T02:59:12Z
