instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-12APR26-63000-C,call,63000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,88.17,0.12109691,0.085,0.1515,0.11825,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-63000-P,put,63000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,88.17,0.0,,0.0001,,19.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-64000-C,call,64000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,86.53,0.10714607,0.0895,0.115,0.10225,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-64000-P,put,64000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,86.53,0.0,,0.0001,,161.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-65000-C,call,65000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,81.64,0.09319523,0.085,0.122,0.1035,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-65000-P,put,65000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,81.64,0.0,,0.0001,,104.3,3.64,2026-04-12T05:40:36Z
BTC-12APR26-66000-C,call,66000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,80.27,0.07924439,0.0705,0.111,0.09075,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-66000-P,put,66000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,80.27,0.0,,0.0001,,87.0,148.48,2026-04-12T05:40:36Z
BTC-12APR26-67000-C,call,67000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,80.21,0.06529354,0.038,0.081,0.0595,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-67000-P,put,67000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,80.21,0.0,,0.0001,,147.5,218.41,2026-04-12T05:40:36Z
BTC-12APR26-68000-C,call,68000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,80.13,0.05134277,0.043,0.0845,0.06375,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-68000-P,put,68000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,80.13,7e-08,,0.0001,,138.0,607.92,2026-04-12T05:40:36Z
BTC-12APR26-68500-C,call,68500.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,76.37,0.04436766,0.036,0.0685,0.05225,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-68500-P,put,68500.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,76.37,3.8e-07,,0.0001,,49.0,485.58,2026-04-12T05:40:36Z
BTC-12APR26-69000-C,call,69000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,69.8,0.037393,0.022,0.062,0.042,0.2,896.79,2026-04-12T05:40:36Z
BTC-12APR26-69000-P,put,69000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,69.8,1.14e-06,,0.0001,,42.8,276.09,2026-04-12T05:40:36Z
BTC-12APR26-69500-C,call,69500.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,65.87,0.03042248,0.0215,0.0665,0.044,0.2,0.0,2026-04-12T05:40:36Z
BTC-12APR26-69500-P,put,69500.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,65.87,6.04e-06,,0.0001,,45.0,128.07,2026-04-12T05:40:36Z
BTC-12APR26-70000-C,call,70000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,54.92,0.02345182,0.014,0.032,0.023,0.0,0.0,2026-04-12T05:40:36Z
BTC-12APR26-70000-P,put,70000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,54.92,1.081e-05,,0.0001,,133.7,3082.92,2026-04-12T05:40:36Z
BTC-12APR26-70500-C,call,70500.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,45.38,0.01649658,0.0085,0.0245,0.0165,3.4,4418.27,2026-04-12T05:40:36Z
BTC-12APR26-70500-P,put,70500.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,45.38,3.099e-05,,0.0001,,97.7,2930.5,2026-04-12T05:40:36Z
BTC-12APR26-71000-C,call,71000.0,1775980800000,2026-04-12T08:00:00Z,0.00026501,71680.77,36.31,0.00962212,0.008,0.0115,0.00975,8.0,2020.73,2026-04-12T05:40:36Z
