instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-15MAR26-61000-C,call,61000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,87.27,0.13607121,0.133,0.166,0.1495,0.1,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-61000-P,put,61000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,87.27,1e-07,,0.0001,,30.7,0.71,2026-03-14T17:55:13Z
BTC-15MAR26-62000-C,call,62000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,82.16,0.12190862,0.118,0.1505,0.13425,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-62000-P,put,62000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,82.16,2.8e-07,,0.0001,,111.8,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-63000-C,call,63000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,73.81,0.10774595,0.1055,0.135,0.12025,0.0,758.57,2026-03-14T17:55:13Z
BTC-15MAR26-63000-P,put,63000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,73.81,3.8e-07,,0.0001,,22.5,2.12,2026-03-14T17:55:13Z
BTC-15MAR26-64000-C,call,64000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,70.18,0.09358442,0.0725,0.1055,0.089,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-64000-P,put,64000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,70.18,1.62e-06,,0.0001,,48.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-65000-C,call,65000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,65.95,0.07942613,0.077,0.108,0.0925,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-65000-P,put,65000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,65.95,6.09e-06,,0.0001,,27.1,65.81,2026-03-14T17:55:13Z
BTC-15MAR26-66000-C,call,66000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,60.99,0.06527788,0.062,0.0945,0.07825,4.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-66000-P,put,66000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,60.99,2.061e-05,,0.0001,,66.4,114.6,2026-03-14T17:55:13Z
BTC-15MAR26-67000-C,call,67000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,60.17,0.05121817,0.048,0.072,0.06,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-67000-P,put,67000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,60.17,0.00012367,,0.0003,,211.2,552.72,2026-03-14T17:55:13Z
BTC-15MAR26-67500-C,call,67500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,56.09,0.04419904,0.0405,0.0635,0.052,0.1,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-67500-P,put,67500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,56.09,0.00018592,0.0001,0.0003,0.0002,43.8,565.59,2026-03-14T17:55:13Z
BTC-15MAR26-68000-C,call,68000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,49.04,0.03713752,0.034,0.0715,0.05275,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-68000-P,put,68000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,49.04,0.00020579,0.0001,0.0004,0.00025,116.3,1806.79,2026-03-14T17:55:13Z
BTC-15MAR26-68500-C,call,68500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,44.02,0.03015521,0.0245,0.0335,0.029,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-68500-P,put,68500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,44.02,0.00030487,0.0003,0.0004,0.00035,205.7,6654.3,2026-03-14T17:55:13Z
BTC-15MAR26-69000-C,call,69000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,37.62,0.02317981,0.021,0.026,0.0235,50.2,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-69000-P,put,69000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,37.62,0.00041085,0.0003,0.0006,0.00045,246.3,25483.02,2026-03-14T17:55:13Z
BTC-15MAR26-69500-C,call,69500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,32.83,0.01641869,0.0145,0.0235,0.019,9.7,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-69500-P,put,69500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,32.83,0.00073111,0.0007,0.0009,0.0008,73.9,6796.66,2026-03-14T17:55:13Z
BTC-15MAR26-70000-C,call,70000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,29.73,0.01023094,0.009,0.011,0.01,30.5,4586.92,2026-03-14T17:55:13Z
BTC-15MAR26-70000-P,put,70000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,29.73,0.00162475,0.0015,0.0018,0.00165,113.3,15377.52,2026-03-14T17:55:13Z
BTC-15MAR26-70500-C,call,70500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,27.29,0.00516725,0.0046,0.0055,0.00505,54.4,12248.25,2026-03-14T17:55:13Z
BTC-15MAR26-70500-P,put,70500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,27.29,0.00364244,0.0034,0.0038,0.0036,79.7,23263.0,2026-03-14T17:55:13Z
BTC-15MAR26-71000-C,call,71000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,26.38,0.00202098,0.0019,0.0023,0.0021,240.3,113316.2,2026-03-14T17:55:13Z
BTC-15MAR26-71000-P,put,71000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,26.38,0.00757755,0.007,0.0085,0.00775,232.2,129143.82,2026-03-14T17:55:13Z
BTC-15MAR26-71500-C,call,71500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,27.9,0.00073875,0.0007,0.0009,0.0008,155.1,26261.43,2026-03-14T17:55:13Z
BTC-15MAR26-71500-P,put,71500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,27.9,0.01337671,0.0125,0.0145,0.0135,44.4,26303.03,2026-03-14T17:55:13Z
BTC-15MAR26-72000-C,call,72000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,29.66,0.00025251,0.0002,0.0003,0.00025,431.2,46637.82,2026-03-14T17:55:13Z
BTC-15MAR26-72000-P,put,72000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,29.66,0.01997185,0.0175,0.0225,0.02,212.8,2494.46,2026-03-14T17:55:13Z
BTC-15MAR26-72500-C,call,72500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,34.91,0.00016112,0.0001,0.0003,0.0002,318.6,31217.21,2026-03-14T17:55:13Z
BTC-15MAR26-72500-P,put,72500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,34.91,0.02696185,0.024,0.0305,0.02725,8.4,14929.11,2026-03-14T17:55:13Z
BTC-15MAR26-73000-C,call,73000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,37.35,6.931e-05,,0.0002,,187.5,8450.49,2026-03-14T17:55:13Z
BTC-15MAR26-73000-P,put,73000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,37.35,0.03395142,0.0235,0.037,0.03025,5.1,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-73500-C,call,73500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,43.86,6.906e-05,,0.0001,,184.9,2864.4,2026-03-14T17:55:13Z
BTC-15MAR26-73500-P,put,73500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,43.86,0.04103256,0.0385,0.0435,0.041,98.6,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-74000-C,call,74000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,47.95,4.735e-05,,0.0001,,154.3,790.21,2026-03-14T17:55:13Z
BTC-15MAR26-74000-P,put,74000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,47.95,0.04809224,0.0355,0.052,0.04375,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-74500-C,call,74500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,48.31,1.673e-05,,0.0001,,1.4,9.19,2026-03-14T17:55:13Z
BTC-15MAR26-74500-P,put,74500.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,48.31,0.05514299,0.0515,0.058,0.05475,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-75000-C,call,75000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,48.33,5.07e-06,,0.0001,,554.2,240.61,2026-03-14T17:55:13Z
BTC-15MAR26-75000-P,put,75000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,48.33,0.06221272,0.032,0.0935,0.06275,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-76000-C,call,76000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,48.42,3.6e-07,,0.0001,,46.6,5.71,2026-03-14T17:55:13Z
BTC-15MAR26-76000-P,put,76000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,48.42,0.07637078,0.047,0.0805,0.06375,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-77000-C,call,77000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,50.56,4e-08,,0.0001,,4.2,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-77000-P,put,77000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,50.56,0.09053323,0.055,0.0935,0.07425,0.0,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-78000-C,call,78000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,57.46,4e-08,,0.0001,,50.3,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-78000-P,put,78000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,57.46,0.104696,0.0735,0.1265,0.1,0.1,0.0,2026-03-14T17:55:13Z
BTC-15MAR26-79000-C,call,79000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,64.39,4e-08,,0.0001,,65.6,34.79,2026-03-14T17:55:13Z
BTC-15MAR26-79000-P,put,79000.0,1773561600000,2026-03-15T08:00:00Z,0.00160614,70607.66313569997,64.39,0.11885876,0.103,0.123,0.113,0.0,0.0,2026-03-14T17:55:13Z
BTC-16MAR26-62000-C,call,62000.0,1773648000000,2026-03-16T08:00:00Z,0.00434399,70609.16850855997,73.48,0.12197779,0.1185,0.151,0.13475,0.0,0.0,2026-03-14T17:55:13Z
BTC-16MAR26-62000-P,put,62000.0,1773648000000,2026-03-16T08:00:00Z,0.00434399,70609.16850855997,73.48,5.073e-05,,0.0001,,51.1,1.41,2026-03-14T17:55:13Z
BTC-16MAR26-63000-C,call,63000.0,1773648000000,2026-03-16T08:00:00Z,0.00434399,70609.16850855997,70.84,0.10787048,0.1055,0.142,0.12375,0.0,0.0,2026-03-14T17:55:13Z
BTC-16MAR26-63000-P,put,63000.0,1773648000000,2026-03-16T08:00:00Z,0.00434399,70609.16850855997,70.84,0.00010589,,0.0002,,58.5,6.36,2026-03-14T17:55:13Z
