instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-18MAR26-63000-C,call,63000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,114.09,0.15079204,0.149,0.1825,0.16575,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-63000-P,put,63000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.36301060018,114.09,6.11e-06,,0.0001,,35.1,22.19,2026-03-17T15:21:36Z
BTC-18MAR26-64000-C,call,64000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,107.22,0.13731561,0.1355,0.164,0.14975,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-64000-P,put,64000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,107.22,9.28e-06,,0.0001,,34.7,261.96,2026-03-17T15:21:36Z
BTC-18MAR26-65000-C,call,65000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,101.02,0.12384233,0.122,0.1485,0.13525,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-65000-P,put,65000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,101.02,1.557e-05,,0.0001,,45.8,414.75,2026-03-17T15:21:36Z
BTC-18MAR26-66000-C,call,66000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,93.74,0.11037089,0.1075,0.1315,0.1195,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-66000-P,put,66000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,93.74,2.373e-05,,0.0001,,74.8,1186.61,2026-03-17T15:21:36Z
BTC-18MAR26-67000-C,call,67000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,93.51,0.09694505,0.094,0.1195,0.10675,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-67000-P,put,67000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,93.51,7.748e-05,,0.0001,,202.5,3974.76,2026-03-17T15:21:36Z
BTC-18MAR26-68000-C,call,68000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,89.48,0.08355385,0.0805,0.108,0.09425,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-68000-P,put,68000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,89.48,0.00016586,,0.0002,,102.0,2184.32,2026-03-17T15:21:36Z
BTC-18MAR26-68500-C,call,68500.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,81.88,0.07679973,0.074,0.101,0.0875,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-68500-P,put,68500.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,81.88,0.00015154,0.0001,0.0002,0.00015,100.2,798.33,2026-03-17T15:21:36Z
BTC-18MAR26-69000-C,call,69000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,76.5,0.07007755,0.0665,0.093,0.07975,0.0,0.0,2026-03-17T15:21:36Z
BTC-18MAR26-69000-P,put,69000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,76.5,0.00016915,0.0001,0.0002,0.00015,42.4,184.51,2026-03-17T15:21:36Z
BTC-18MAR26-69500-C,call,69500.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,70.72,0.06335239,0.0615,0.09,0.07575,0.5,562.38,2026-03-17T15:21:36Z
BTC-18MAR26-69500-P,put,69500.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74185.5592109979,70.72,0.00018379,0.0001,0.0003,0.0002,119.0,1266.3,2026-03-17T15:21:36Z
BTC-18MAR26-70000-C,call,70000.0,1773820800000,2026-03-18T08:00:00Z,0.00189822,74186.2411556651,66.9,0.05667401,0.0515,0.0655,0.0585,1.0,0.0,2026-03-17T15:21:36Z
