instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-12APR26-63000-C,call,63000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,88.17,0.12118017,0.093,0.142,0.1175,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-63000-P,put,63000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,88.17,0.0,,0.0001,,19.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-64000-C,call,64000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,86.53,0.10723293,0.0825,0.123,0.10275,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-64000-P,put,64000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,86.53,0.0,,0.0001,,161.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-65000-C,call,65000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,81.64,0.09328344,0.068,0.1065,0.08725,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-65000-P,put,65000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,81.64,0.0,,0.0001,,104.3,3.64,2026-04-12T06:35:06Z
BTC-12APR26-66000-C,call,66000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,80.27,0.07933396,0.0535,0.097,0.07525,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-66000-P,put,66000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,80.27,0.0,,0.0001,,87.0,148.48,2026-04-12T06:35:06Z
BTC-12APR26-67000-C,call,67000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,80.21,0.06538209,0.053,0.0995,0.07625,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-67000-P,put,67000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,80.21,0.0,,0.0001,,147.5,218.41,2026-04-12T06:35:06Z
BTC-12APR26-68000-C,call,68000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,80.13,0.05143257,0.043,0.085,0.064,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-68000-P,put,68000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,80.13,0.0,,0.0001,,138.0,607.92,2026-04-12T06:35:06Z
BTC-12APR26-68500-C,call,68500.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,76.37,0.04445781,0.036,0.066,0.051,0.0,0.0,2026-04-12T06:35:06Z
BTC-12APR26-68500-P,put,68500.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,76.37,0.0,,0.0001,,49.0,485.58,2026-04-12T06:35:06Z
BTC-12APR26-69000-C,call,69000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,69.8,0.03748306,0.027,0.0465,0.03675,0.2,896.79,2026-04-12T06:35:06Z
BTC-12APR26-69000-P,put,69000.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,69.8,2e-08,,0.0001,,42.8,276.09,2026-04-12T06:35:06Z
BTC-12APR26-69500-C,call,69500.0,1775980800000,2026-04-12T08:00:00Z,0.00016142,71688.31,65.87,0.0305085,0.0205,0.0625,0.0415,0.2,0.0,2026-04-12T06:35:06Z
