instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-19MAR26-63000-C,call,63000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,114.55,0.11404699,0.111,0.115,0.113,0.0,0.0,2026-03-18T22:51:34Z
BTC-19MAR26-63000-P,put,63000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,114.55,4.96e-06,,0.0001,,107.5,13.14,2026-03-18T22:51:34Z
BTC-19MAR26-64000-C,call,64000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,112.25,0.09999762,0.0865,0.1005,0.0935,0.0,0.0,2026-03-18T22:51:34Z
BTC-19MAR26-64000-P,put,64000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,112.25,1.841e-05,,0.0001,,76.2,181.8,2026-03-18T22:51:34Z
BTC-19MAR26-65000-C,call,65000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,100.95,0.08594411,0.083,0.088,0.0855,0.0,0.0,2026-03-18T22:51:34Z
BTC-19MAR26-65000-P,put,65000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71109.46828724186,100.95,2.773e-05,,0.0001,,23.3,277.47,2026-03-18T22:51:34Z
BTC-19MAR26-66000-C,call,66000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,90.83,0.0719036,0.069,0.0725,0.07075,0.0,0.0,2026-03-18T22:51:34Z
BTC-19MAR26-66000-P,put,66000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,90.83,5.004e-05,,0.0001,,75.4,339.59,2026-03-18T22:51:34Z
BTC-19MAR26-67000-C,call,67000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,80.68,0.05788813,0.056,0.06,0.058,1.3,7057.51,2026-03-18T22:51:34Z
BTC-19MAR26-67000-P,put,67000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,80.68,9.739e-05,0.0001,0.0002,0.00015,197.1,2768.83,2026-03-18T22:51:34Z
BTC-19MAR26-68000-C,call,68000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,72.98,0.04398564,0.042,0.0445,0.04325,2.4,6902.85,2026-03-18T22:51:34Z
BTC-19MAR26-68000-P,put,68000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,72.98,0.00025773,0.0002,0.0004,0.0003,178.4,4634.76,2026-03-18T22:51:34Z
BTC-19MAR26-69000-C,call,69000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,62.41,0.03025672,0.0255,0.031,0.02825,1.4,6548.81,2026-03-18T22:51:34Z
BTC-19MAR26-69000-P,put,69000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,62.41,0.00059163,0.0005,0.0007,0.0006,208.2,14859.52,2026-03-18T22:51:34Z
BTC-19MAR26-69500-C,call,69500.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,59.8,0.02373983,0.021,0.039,0.03,1.0,1543.35,2026-03-18T22:51:34Z
BTC-19MAR26-69500-P,put,69500.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,59.8,0.00110616,0.001,0.0013,0.00115,165.7,9832.75,2026-03-18T22:51:34Z
BTC-19MAR26-70000-C,call,70000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,55.92,0.01750412,0.015,0.0185,0.01675,0.7,1586.65,2026-03-18T22:51:34Z
BTC-19MAR26-70000-P,put,70000.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,55.92,0.00190186,0.0017,0.0021,0.0019,204.5,17043.41,2026-03-18T22:51:34Z
BTC-19MAR26-70500-C,call,70500.0,1773907200000,2026-03-19T08:00:00Z,0.00104272,71108.27593518567,52.51,0.0118757,0.011,0.0125,0.01175,18.8,19171.0,2026-03-18T22:51:34Z
